A B M INTERNATIONAL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 0.49 , 0.49 , 0.49 , 0.49 , 1.96 , 1.96 , 1.96 , 1.96 , 11.76 , 11.76 
Reserves, 11.23 , 13.23 , 13.68 , 13.94 , 13.15 , 13.58 , 14.17 , 14.88 , 4.10 , 3.88 
Borrowings, 0.04 , -   , 13.65 , 31.50 , 48.74 , 33.47 , 28.60 , 21.94 , 0.18 , 0.10 
Other Liabilities, 16.09 , 16.73 , 3.55 , 3.05 , 3.37 , 3.61 , 4.01 , 5.58 , 18.90 , 12.60 
Total, 27.85 , 30.45 , 31.37 , 48.98 , 67.22 , 52.62 , 48.74 , 44.36 , 34.94 , 28.34 
,,,,,,,,,,
Net Block, 2.30 , 2.32 , 2.22 , 2.17 , 2.08 , 2.00 , 1.99 , 1.80 , 1.87 , 1.65 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, 2.28 , 2.28 , 2.31 , 2.55 , 2.55 , 2.75 , 2.75 , 2.75 , 1.16 , 1.14 
Other Assets, 23.27 , 25.85 , 26.84 , 44.26 , 62.59 , 47.87 , 44.00 , 39.81 , 31.91 , 25.55 
Total, 27.85 , 30.45 , 31.37 , 48.98 , 67.22 , 52.62 , 48.74 , 44.36 , 34.94 , 28.34 
,,,,,,,,,,
Working Capital, 7.18 , 9.12 , 23.29 , 41.21 , 59.22 , 44.26 , 39.99 , 34.23 , 13.01 , 12.95 
Debtors, 3.87 , 7.20 , 6.93 , 14.95 , 29.09 , 20.51 , 22.61 , 19.46 , 16.04 , 17.57 
Inventory, 3.48 , 7.51 , 6.04 , 8.15 , -   , -   , -   , -   , 3.39 , -   
,,,,,,,,,,
Debtor Days, 26.41 , 33.27 , 25.29 , 53.53 , 60.35 , 44.79 , 52.92 , 65.22 , 41.20 , 72.37 
Inventory Turnover, 15.37 , 10.52 , 16.56 , 12.51 , -   , -   , -   , -   , 41.92 , -   
,,,,,,,,,,
Return on Equity,3%,15%,4%,2%,5%,3%,4%,5%,4%,-1%
Return on Capital Emp,,23%,3%,1%,2%,1%,3%,3%,4%,2%
,,,,,,,,,,
