A2Z INFRA ENGINEERING LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 21.65 , 57.30 , 74.18 , 74.18 , 74.18 , 74.18 , 86.52 , 126.89 , 144.95 , 176.12 
Reserves, 202.68 , 367.18 ," 1,064.51 "," 1,084.24 "," 1,030.43 ", 835.47 , 710.24 , 585.63 , 459.76 , 437.25 
Borrowings, 262.51 , 351.60 , 324.78 , 621.17 , 711.25 , 871.10 , 912.74 , 935.54 , 961.02 , 735.89 
Other Liabilities, 295.36 , 492.47 , 360.81 , 407.41 , 340.42 , 304.65 , 397.43 , 982.97 , 950.88 , 993.18 
Total, 782.20 ," 1,268.55 "," 1,824.28 "," 2,187.00 "," 2,156.28 "," 2,085.40 "," 2,106.93 "," 2,631.03 "," 2,516.61 "," 2,342.44 "
,,,,,,,,,,
Net Block, 14.62 , 24.38 , 55.63 , 60.36 , 90.29 , 77.60 , 207.19 , 186.98 , 163.55 , 144.10 
Capital Work in Progress, 7.12 , 29.26 , 100.18 , 288.12 , 377.87 , 402.70 , 267.12 , 266.13 , 208.77 , 180.57 
Investments, 21.15 , 61.82 , 218.18 , 297.17 , 297.39 , 295.94 , 296.61 , 298.85 , 298.03 , 290.68 
Other Assets, 739.31 ," 1,153.09 "," 1,450.29 "," 1,541.35 "," 1,390.73 "," 1,309.16 "," 1,336.01 "," 1,879.07 "," 1,846.26 "," 1,727.09 "
Total, 782.20 ," 1,268.55 "," 1,824.28 "," 2,187.00 "," 2,156.28 "," 2,085.40 "," 2,106.93 "," 2,631.03 "," 2,516.61 "," 2,342.44 "
,,,,,,,,,,
Working Capital, 443.95 , 660.62 ," 1,089.48 "," 1,133.94 "," 1,050.31 "," 1,004.51 ", 938.58 , 896.10 , 895.38 , 733.91 
Debtors, 469.77 , 787.81 , 788.79 , 778.44 , 690.10 , 681.92 , 666.11 ," 1,011.57 "," 1,200.30 "," 1,172.16 "
Inventory, 2.07 , 0.78 , 27.95 , 19.78 , 16.28 , 13.68 , 11.64 , 18.12 , 7.66 , 3.49 
,,,,,,,,,,
Debtor Days, 257.43 , 257.11 , 260.00 , 293.45 , 453.88 , 740.14 ," 1,109.32 ", 386.59 , 690.41 ," 1,196.68 "
Inventory Turnover, 321.78 ," 1,433.83 ", 39.62 , 48.95 , 34.09 , 24.58 , 18.83 , 52.71 , 82.84 , 102.44 
,,,,,,,,,,
Return on Equity,27%,22%,7%,2%,-5%,-21%,-16%,-6%,-23%,-19%
Return on Capital Emp,,33%,19%,7%,0%,-6%,-5%,5%,2%,1%
,,,,,,,,,,
