A2Z INFRA ENGINEERING LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (58.19), (50.53), (215.58), 1.36 , (2.70), (94.64), 19.98 , (6.01), 51.28 , 9.26 
Cash from Investing Activity, (36.34), (89.75), (294.27), (233.89), 11.81 , (6.54), (26.73), 20.69 , (4.57), 12.89 
Cash from Financing Activity, 100.07 , 139.81 , 567.79 , 184.40 , (13.32), 97.48 , 0.69 , (9.17), (3.14), (62.70)
Net Cash Flow, 5.54 , (0.47), 57.94 , (48.13), (4.21), (3.70), (6.06), 5.51 , 43.56 , (40.55)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
