AGC NETWORKS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Sep-09,Sep-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 29.45 , 41.00 , (23.80), (17.30), (59.30), 82.38 , (36.18), (6.73), 14.68 , -   
Cash from Investing Activity, 2.10 , (1.60), (103.30), (54.30), (35.50), 24.48 , 52.67 , 33.01 , 4.30 , -   
Cash from Financing Activity, (7.04), (6.60), (8.00), 80.20 , 90.10 , (116.98), (18.27), (23.08), (22.83), -   
Net Cash Flow, 24.51 , 32.80 , (135.10), 8.60 , (4.70), (10.12), (1.78), 3.20 , (3.85), -   
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
