AIA ENGINEERING LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 18.80 , 18.86 , 18.86 , 18.86 , 18.86 , 18.86 , 18.86 , 18.86 , 18.86 , 18.86 
Reserves, 629.90 , 724.95 , 821.83 , 939.86 ," 1,064.85 "," 1,293.19 "," 1,632.78 "," 2,032.47 "," 2,403.22 "," 2,741.41 "
Borrowings, 37.10 , 1.63 , 1.54 , 26.86 , 147.05 , 117.24 , 89.52 , 169.55 , 140.20 , 118.30 
Other Liabilities, 283.39 , 352.76 , 134.38 , 157.02 , 200.09 , 262.90 , 283.35 , 205.44 , 277.08 , 327.70 
Total, 969.19 ," 1,098.20 ", 976.61 ," 1,142.60 "," 1,430.85 "," 1,692.19 "," 2,024.51 "," 2,426.32 "," 2,839.36 "," 3,206.27 "
,,,,,,,,,,
Net Block, 201.47 , 204.92 , 242.41 , 315.52 , 339.28 , 366.77 , 530.44 , 651.96 , 649.83 , 651.19 
Capital Work in Progress, 6.68 , 10.26 , 13.48 , 18.09 , 31.45 , 99.76 , 46.48 , 37.80 , 42.43 , 95.14 
Investments, 55.84 , 155.92 , 165.29 , 127.27 , 192.04 , 516.26 , 615.65 , 923.27 , 940.96 ," 1,047.41 "
Other Assets, 705.20 , 727.10 , 555.43 , 681.72 , 868.08 , 709.40 , 831.94 , 813.29 ," 1,206.14 "," 1,412.53 "
Total, 969.19 ," 1,098.20 ", 976.61 ," 1,142.60 "," 1,430.85 "," 1,692.19 "," 2,024.51 "," 2,426.32 "," 2,839.36 "," 3,206.27 "
,,,,,,,,,,
Working Capital, 421.81 , 374.34 , 421.05 , 524.70 , 667.99 , 446.50 , 548.59 , 607.85 , 929.06 ," 1,084.83 "
Debtors, 154.13 , 183.92 , 243.21 , 297.16 , 233.52 , 221.36 , 226.38 , 401.26 , 661.01 , 702.99 
Inventory, 77.05 , 99.63 , 131.85 , 162.10 , 209.64 , 219.40 , 226.43 , 208.42 , 299.11 , 344.96 
,,,,,,,,,,
Debtor Days, 61.05 , 83.55 , 90.09 , 85.24 , 53.75 , 45.32 , 39.46 , 80.48 , 116.79 , 119.32 
Inventory Turnover, 11.96 , 8.06 , 7.47 , 7.85 , 7.56 , 8.13 , 9.25 , 8.73 , 6.91 , 6.23 
,,,,,,,,,,
Return on Equity,21%,16%,15%,16%,16%,22%,25%,30%,17%,17%
Return on Capital Emp,,26%,24%,25%,23%,32%,37%,41%,26%,23%
,,,,,,,,,,
