AMJ LAND HOLDINGS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 220.30 , 218.00 , 225.77 , 225.08 , 209.05 , 241.39 , 291.48 , 12.38 , 18.81 , 27.39 , 20.51 , 39.88 , 16.20 
Expenses, 200.87 , 198.97 , 207.28 , 203.57 , 182.09 , 216.57 , 263.32 , 5.77 , 14.81 , 23.40 , 14.37 , 27.94 , 14.55 
Operating Profit, 19.43 , 19.03 , 18.49 , 21.51 , 26.96 , 24.82 , 28.16 , 6.61 , 4.00 , 3.99 , 6.14 , 11.94 , 1.66 
Other Income, 4.77 , 1.61 , 4.83 , 5.45 , 5.73 , 7.99 , 10.58 , 3.61 , 4.30 , 3.39 , 3.46 , -   , -   
Depreciation, 10.04 , 10.15 , 8.67 , 7.83 , 8.48 , 8.10 , 5.05 , 1.59 , 1.87 , 1.84 , 1.84 , 1.84 , 1.84 
Interest, 8.00 , 1.51 , 4.52 , 6.10 , 7.53 , 9.51 , 9.92 , 0.85 , 0.49 , 0.18 , 0.08 , 0.08 , 0.08 
Profit before tax, 6.16 , 15.38 , 10.13 , 13.03 , 16.69 , 15.19 , 23.78 , 7.85 , 5.95 , 5.36 , 7.68 , 10.02 , (0.26)
Tax, 1.95 , 5.10 , 2.02 , 1.76 , (0.13), 0.81 , 3.51 , 0.30 , (0.34), 1.16 , 2.32 ,30%,30%
Net profit, 4.21 , 10.28 , 8.11 , 11.27 , 16.81 , 14.38 , 20.27 , 7.55 , 6.28 , 4.20 , 5.35 , 6.99 , (0.18)
EPS, 1.03 , 2.51 , 1.98 , 2.75 , 4.10 , 3.51 , 4.94 , 1.84 , 1.53 , 1.02 , 1.30 , 1.71 , (0.04)
Price to earning, 4.13 , 4.44 , 5.69 , 3.03 , 1.28 , 1.62 , 2.49 , 10.06 , 14.34 , 24.53 , 14.87 , 15.95 , 7.86 
Price, 4.25 , 11.12 , 11.25 , 8.33 , 5.24 , 5.68 , 12.31 , 18.53 , 21.96 , 25.13 , 19.40 , 27.20 , (0.35)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,24.23%,11.96%,15.17%,10.91%,7.32%,8.55%,6.07%,10.86%,13.06%,19.52%,,,
OPM,8.82%,8.73%,8.19%,9.56%,12.90%,10.28%,9.66%,53.39%,21.27%,14.57%,29.94%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-20.68%,-26.02%,-33.40%,-54.54%,45.61%,45.61%,-54.54%
,,,,,,OPM,10.24%,11.32%,11.43%,24.92%,29.94%,29.94%,10.24%
,,,,,,Price to Earning, 7.86 , 9.03 , 11.32 , 15.95 , 14.87 , 15.95 , 7.86 
