ARSS INFRASTRUCTURE PROJECTS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 614.77 , 988.29 ," 1,232.53 "," 1,166.38 ", 760.82 , 882.54 , 638.58 , 613.16 , 836.65 , 584.34 , 423.52 , 567.30 , 467.78 
Expenses, 520.19 , 819.43 , 976.82 ," 1,020.84 ", 670.52 , 701.09 , 454.66 , 437.53 ," 1,071.65 ", 524.49 , 445.53 , 501.63 , 467.78 
Operating Profit, 94.58 , 168.86 , 255.71 , 145.54 , 90.30 , 181.45 , 183.92 , 175.63 , (235.00), 59.85 , (22.01), 65.67 , -   
Other Income, 3.86 , 6.54 , 8.34 , 14.27 , 8.93 , (0.82), 8.12 , 21.45 , 12.53 , (73.78), 20.77 , -   , -   
Depreciation, 7.35 , 13.54 , 28.22 , 37.91 , 35.60 , 34.95 , 36.55 , 36.14 , 32.63 , 23.94 , 22.28 , 22.28 , 22.28 
Interest, 27.02 , 53.08 , 99.03 , 162.08 , 133.82 , 163.11 , 166.96 , 164.84 , 81.29 , 40.90 , 20.26 , 20.26 , 20.26 
Profit before tax, 70.59 , 121.08 , 151.96 , (23.82), (60.02), 1.44 , 5.48 , 6.23 , (336.39), (78.77), (43.78), 23.13 , (42.54)
Tax, 20.51 , 31.01 , 39.80 , 5.79 , 4.56 , (0.23), (0.73), 1.21 , (4.78), (24.00), (13.86),0%,0%
Net profit, 50.08 , 90.07 , 112.16 , (29.61), (64.59), 1.67 , 6.22 , 5.02 , (331.61), (54.77), (29.92), 23.13 , (42.54)
EPS, 39.89 , 60.68 , 75.56 , (19.95), (43.51), 1.13 , 4.19 , 3.38 , (223.41), (24.09), (13.16), 10.17 , (18.71)
Price to earning,  , 20.22 , 7.44 , (5.69), (0.74), 25.04 , 8.86 , 11.29 , (0.33), (2.07), -   , 11.29 , -   
Price, -   ," 1,227.26 ", 562.11 , 113.41 , 32.25 , 28.17 , 37.13 , 38.19 , 73.99 , 49.91 , 43.30 , 114.88 , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,2.50%,3.30%,1.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,15.38%,17.09%,20.75%,12.48%,11.87%,20.56%,28.80%,28.64%,0.00%,10.24%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-0.56%,-10.11%,-5.14%,-2.92%,-27.52%,-2.92%,-27.52%
,,,,,,OPM,16.30%,15.26%,16.90%,11.58%,0.00%,11.58%,0.00%
,,,,,,Price to Earning, 14.57 , 15.06 , 15.06 , 11.29 , -   , 11.29 , -   
