ADANI ENTERPRISES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 11,271.19 "," 11,421.22 "," 2,926.85 "," 5,282.20 "," 11,890.88 "," 11,741.97 "," 14,789.49 "," 8,040.19 "," 7,733.37 "," 9,524.37 "," 13,062.73 "," 13,062.73 "," 7,742.14 "
Expenses," 10,987.60 "," 11,024.48 "," 3,058.30 "," 5,161.84 "," 11,837.02 "," 12,488.44 "," 14,839.78 "," 7,750.62 "," 7,171.31 "," 8,928.43 "," 12,389.29 "," 12,315.27 "," 7,560.17 "
Operating Profit, 283.59 , 396.74 , (131.45), 120.36 , 53.86 , (746.47), (50.29), 289.57 , 562.06 , 595.94 , 673.44 , 747.46 , 181.97 
Other Income, 553.21 , 353.86 , 483.19 , 461.65 , 916.94 ," 1,204.15 "," 1,492.65 "," 1,022.89 ", 687.12 , 451.76 , 346.57 , -   , -   
Depreciation, 12.08 , 12.76 , 13.27 , 29.90 , 57.55 , 59.07 , 81.73 , 79.36 , 78.86 , 87.41 , 90.18 , 90.18 , 90.18 
Interest, 450.11 , 450.15 , 74.62 , 165.03 , 302.10 , 760.93 , 928.68 , 717.14 , 781.80 , 666.35 , 651.62 , 651.62 , 651.62 
Profit before tax, 374.61 , 287.69 , 263.85 , 387.08 , 611.15 , (362.32), 431.95 , 515.96 , 388.52 , 293.94 , 278.21 , 5.66 , (559.83)
Tax, 48.18 , 33.28 , (5.26), 25.36 , 91.31 , (183.62), 25.10 , (4.15), 166.88 , 96.91 , 60.98 ,22%,22%
Net profit, 326.43 , 254.41 , 269.11 , 361.72 , 519.84 , (178.70), 406.85 , 520.11 , 221.64 , 197.03 , 217.23 , 4.42 , (437.13)
EPS, 6.60 , 5.11 , 2.45 , 3.29 , 4.73 , (1.62), 3.70 , 4.73 , 2.02 , 1.79 , 1.98 , 0.04 , (3.97)
Price to earning, 9.65 , 36.16 , 94.65 , 32.24 , 16.16 , (90.13), 62.56 , 11.37 , 41.66 , 58.11 , 79.59 , 79.59 , 43.10 
Price, 63.68 , 184.74 , 231.59 , 106.03 , 76.37 , 146.44 , 231.42 , 53.78 , 83.96 , 104.10 , 157.20 , 3.20 , (171.30)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,7.55%,19.57%,40.87%,30.40%,29.62%,0.00%,37.84%,8.46%,19.85%,22.33%,,,
OPM,2.52%,3.47%,0.00%,2.28%,0.45%,0.00%,0.00%,3.60%,7.27%,6.26%,5.16%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-1.85%,18.36%,-4.34%,-13.64%,37.15%,37.15%,-13.64%
,,,,,,OPM,2.43%,2.35%,2.79%,5.72%,5.16%,5.72%,2.35%
,,,,,,Price to Earning, 44.21 , 43.10 , 50.66 , 47.68 , 79.59 , 79.59 , 43.10 
