ADANI GREEN ENERGY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , -   , 160.00 ," 1,273.90 "," 1,376.75 "
Reserves, -   , -   , -   , -   , -   , -   , -   , (0.89), (50.15), (78.83)
Borrowings, -   , -   , -   , -   , -   , -   , -   , 65.35 , 548.99 ," 2,866.81 "
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , 51.56 , 8.25 , 53.44 
Total, -   , -   , -   , -   , -   , -   , -   , 276.02 ," 1,780.99 "," 4,218.17 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , 87.22 , 77.56 , 69.23 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , 0.98 , -   
Investments, -   , -   , -   , -   , -   , -   , -   , 165.24 ," 1,353.76 "," 1,529.66 "
Other Assets, -   , -   , -   , -   , -   , -   , -   , 23.56 , 348.69 ," 2,619.28 "
Total, -   , -   , -   , -   , -   , -   , -   , 276.02 ," 1,780.99 "," 4,218.17 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , -   , (28.00), 340.44 ," 2,565.84 "
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , 5.14 , 97.81 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , 0.41 , 0.67 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , 189.31 , 362.66 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , 24.17 , 146.93 
,,,,,,,,,,
Return on Equity,,,,,,,,-1%,-4%,-2%
Return on Capital Emp,,,,,,,,0%,-2%,1%
,,,,,,,,,,
