ADANI GREEN ENERGY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , -   , 0.10 , (23.74), (115.60)
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , -   , (224.44)," (1,541.06)"," (2,218.92)"
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , -   , 224.60 ," 1,571.12 "," 2,365.87 "
Net Cash Flow, -   , -   , -   , -   , -   , -   , -   , 0.26 , 6.32 , 31.34 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
