ADANI POWER LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (1.87), (16.33)," 1,450.20 ", 540.78 ," 1,820.31 "," 3,385.89 "," 2,393.28 "," 1,869.33 ", 659.43 , (332.54)
Cash from Investing Activity," (4,522.23)"," (7,011.63)"," (8,409.81)"," (9,047.25)", 177.23 , (30.89)," (2,575.38)"," (3,236.09)", (554.79)," (3,565.03)"
Cash from Financing Activity," 4,826.48 "," 7,560.47 "," 6,654.15 "," 8,381.50 "," (2,244.80)"," (3,352.75)", 180.00 ," 1,330.12 ", (94.60)," 3,845.24 "
Net Cash Flow, 302.38 , 532.51 , (305.46), (124.97), (247.26), 2.25 , (2.10), (36.64), 10.04 , (52.33)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
