ADHUNIK METALIKS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-08,Mar-09,Mar-10,Mar-11,Jun-12,Jun-13,Jun-14,Jun-15,Mar-16,Mar-17
Cash from Operating Activity, 82.31 , 52.05 , 280.99 , 51.80 , 291.90 , 556.77 , 293.50 , 37.83 , 20.37 , (68.56)
Cash from Investing Activity, (441.87), (385.50), (300.00), (6.65), (73.63), (257.34), (289.09), (162.17), (33.19), (1.10)
Cash from Financing Activity, 374.20 , 325.38 , 42.85 , (74.58), (206.47), (317.03), 1.08 , 116.46 , 16.55 , 64.61 
Net Cash Flow, 14.64 , (8.07), 23.84 , (29.43), 11.80 , (17.60), 5.49 , (7.88), 3.73 , (5.05)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
