ADITYA BIRLA MONEY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 5.54 , 5.54 , 5.54 , 5.54 , 5.54 , 5.54 , 5.54 , 5.54 , 5.54 , 5.61 
Reserves, 39.90 , 49.38 , 51.92 , 34.63 , 21.97 , 21.76 , 20.43 , 21.63 , 27.77 , 39.74 
Borrowings, 5.00 , 39.31 , 24.93 , 50.37 , 50.84 , 9.87 , 69.06 , 74.75 , 34.71 , 222.14 
Other Liabilities, 77.74 , 133.80 , 88.78 , 92.22 , 80.68 , 159.03 , 117.43 , 134.66 , 197.33 , 247.17 
Total, 128.18 , 228.03 , 171.17 , 182.76 , 159.03 , 196.20 , 212.46 , 236.58 , 265.35 , 514.66 
,,,,,,,,,,
Net Block, 34.71 , 34.51 , 41.32 , 34.80 , 27.07 , 20.51 , 7.53 , 6.72 , 7.04 , 5.85 
Capital Work in Progress, 0.16 , 1.32 , -   , 0.13 , 0.21 , -   , 0.08 , -   , 0.38 , 0.64 
Investments, 2.03 , 2.01 , 12.01 , 2.01 , 2.01 , 5.01 , 5.26 , 5.50 , 5.50 , 29.75 
Other Assets, 91.28 , 190.19 , 117.84 , 145.82 , 129.74 , 170.68 , 199.59 , 224.36 , 252.43 , 478.42 
Total, 128.18 , 228.03 , 171.17 , 182.76 , 159.03 , 196.20 , 212.46 , 236.58 , 265.35 , 514.66 
,,,,,,,,,,
Working Capital, 13.54 , 56.39 , 29.06 , 53.60 , 49.06 , 11.65 , 82.16 , 89.70 , 55.10 , 231.25 
Debtors, 23.91 , 73.30 , 36.12 , 69.64 , 50.63 , 88.38 , 91.41 , 134.22 , 147.96 , 133.33 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , 115.62 
,,,,,,,,,,
Debtor Days, 123.25 , 265.26 , 123.55 , 352.30 , 259.22 , 466.77 , 281.56 , 416.97 , 432.91 , 305.98 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.38 
,,,,,,,,,,
Return on Equity,1%,17%,-16%,-43%,-46%,-30%,27%,4%,18%,21%
Return on Capital Emp,,25%,-9%,-15%,-9%,-10%,15%,10%,16%,13%
,,,,,,,,,,
