ADITYA BIRLA FASHION & RETAIL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , 0.50 , 0.50 , 0.50 , 0.50 , 92.79 , 92.79 , 768.84 , 770.53 , 771.69 
Reserves, -   , (0.89), (0.88), 0.20 , (77.80), 486.17 , 252.27 , 132.87 , 187.63 , 321.27 
Borrowings, -   , -   , -   , -   ," 1,730.69 "," 1,050.46 "," 1,310.63 "," 1,849.82 "," 2,044.62 "," 1,861.45 "
Other Liabilities, -   , 1.38 , 2.23 , 3.09 ," 1,228.89 ", 364.60 , 486.76 ," 1,830.88 "," 2,033.07 "," 2,779.43 "
Total, -   , 0.99 , 1.85 , 3.79 ," 2,882.28 "," 1,994.02 "," 2,142.45 "," 4,582.41 "," 5,035.85 "," 5,733.84 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   ," 1,637.26 "," 1,633.17 "," 1,579.35 "," 2,323.20 "," 2,487.06 "," 2,582.30 "
Capital Work in Progress, -   , -   , -   , -   , 13.55 , 24.85 , 3.77 , 25.38 , 25.00 , 45.89 
Investments, -   , -   , 0.32 , 0.32 , 800.00 , 5.99 , -   , -   , -   , 4.21 
Other Assets, -   , 0.99 , 1.53 , 3.47 , 431.47 , 330.01 , 559.33 ," 2,233.83 "," 2,523.79 "," 3,101.44 "
Total, -   , 0.99 , 1.85 , 3.79 ," 2,882.28 "," 1,994.02 "," 2,142.45 "," 4,582.41 "," 5,035.85 "," 5,733.84 "
,,,,,,,,,,
Working Capital, -   , (0.39), (0.70), 0.38 , (797.42), (34.59), 72.57 , 402.95 , 490.72 , 322.01 
Debtors, -   , 0.61 , 0.63 , 1.79 , 0.96 , 17.00 , 7.07 , 312.38 , 452.18 , 551.84 
Inventory, -   , 0.06 , 0.20 , 0.20 , 324.87 , 358.35 , 427.33 ," 1,410.53 "," 1,431.25 "," 1,691.20 "
,,,,,,,,,,
Debtor Days, -   , 16.37 , 17.99 , 37.48 , 0.27 , 3.74 , 1.39 , 18.90 , 25.00 , 28.08 
Inventory Turnover, -   , 226.67 , 63.90 , 87.15 , 3.96 , 4.64 , 4.33 , 4.28 , 4.61 , 4.24 
,,,,,,,,,,
Return on Equity,,,,174%,,-32%,-66%,-12%,6%,11%
Return on Capital Emp,,,,1213%,10%,-4%,-6%,5%,10%,9%
,,,,,,,,,,
