ADITYA BIRLA FASHION & RETAIL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , (21.96), 0.29 , 0.02 , 2.70 , 70.13 , (35.91), 310.87 , 425.19 , 595.12 
Cash from Investing Activity, -   , 5.16 , (0.32), -   , (820.21), 681.32 , (108.79), (185.89), (445.62), (325.20)
Cash from Financing Activity, -   , 16.96 , -   , -   , 842.71 , (765.88), 141.08 , (132.95), 50.92 , (246.89)
Net Cash Flow, -   , 0.16 , (0.03), 0.02 , 25.20 , (14.43), (3.62), (7.97), 30.49 , 23.03 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
