ADITYA BIRLA FASHION & RETAIL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , 13.60 , 12.78 , 17.43 ," 1,285.14 "," 1,661.21 "," 1,850.73 "," 6,033.92 "," 6,602.86 "," 7,172.07 "," 8,117.72 "," 11,265.36 "," 8,242.41 "
Expenses, -   , 22.41 , 12.66 , 16.88 ," 1,204.81 "," 1,615.73 "," 1,775.92 "," 5,620.64 "," 6,123.55 "," 6,661.70 "," 7,563.65 "," 10,467.49 "," 7,705.97 "
Operating Profit, -   , (8.81), 0.12 , 0.55 , 80.33 , 45.48 , 74.81 , 413.28 , 479.31 , 510.37 , 554.07 , 797.87 , 536.43 
Other Income, -   , 0.80 , 0.02 , 1.39 , 58.08 , 5.13 , 2.78 , 26.37 , 37.16 , 30.97 , 64.78 , -   , -   
Depreciation, -   , 4.77 , -   , -   , 54.43 , 109.00 , 183.45 , 338.09 , 242.47 , 280.52 , 282.33 , 282.33 , 282.33 
Interest, -   , 12.52 , 0.10 , 0.15 , 152.87 , 129.34 , 122.28 , 211.31 , 220.50 , 211.85 , 187.42 , 187.42 , 187.42 
Profit before tax, -   , (25.30), 0.04 , 1.79 , (68.89), (187.73), (228.14), (109.75), 53.50 , 48.97 , 149.10 , 328.12 , 66.68 
Tax, -   , 0.07 , 0.03 , 0.57 , -   , -   , -   , -   , -   , (68.82), (172.12),-115%,-115%
Net profit, -   , (25.37), 0.01 , 1.22 , (68.89), (187.73), (228.14), (109.75), 53.50 , 117.79 , 321.22 , 706.90 , 143.66 
EPS, -   , (507.40), 0.20 , 24.40 ," (1,377.80)", (20.23), (24.59), (1.43), 0.69 , 1.53 , 4.15 , 9.14 , 1.86 
Price to earning,  ,  ,  ,  ,  , (5.00), (4.70), (105.42), 245.45 , 96.95 , 50.45 , 130.95 , 50.45 
Price, -   , -   , -   , -   , -   , 101.11 , 115.44 , 150.48 , 170.42 , 147.98 , 209.50 ," 1,196.72 ", 93.69 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.94%,3.16%,6.25%,2.74%,4.04%,6.85%,7.26%,7.12%,6.83%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,147.02%,41.04%,57.07%,13.19%,57.07%,13.19%
,,,,,,OPM,6.51%,6.51%,6.53%,7.08%,6.83%,7.08%,6.51%
,,,,,,Price to Earning, 130.95 , 130.95 , 130.95 , 130.95 , 50.45 , 130.95 , 50.45 
