ADLABS ENTERTAINMENT LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , 31.38 , 37.27 , 41.92 , 45.87 , 48.46 , 79.90 , 79.90 , 79.90 , 88.06 
Reserves, -   , 156.42 , 185.83 , 208.41 , 263.16 , 265.18 , 629.57 , 537.05 , 419.86 , 321.09 
Borrowings, -   , 23.24 , 45.49 , 198.08 , 788.10 ," 1,140.09 "," 1,172.53 "," 1,008.05 "," 1,059.91 "," 1,074.49 "
Other Liabilities, -   , 39.22 , 17.38 , 19.07 , 57.08 , 46.51 , 159.90 , 123.47 , 147.66 , 162.26 
Total, -   , 250.26 , 285.97 , 467.48 ," 1,154.21 "," 1,500.24 "," 2,041.90 "," 1,748.47 "," 1,707.33 "," 1,645.90 "
,,,,,,,,,,
Net Block, -   , 224.15 , 226.69 , 230.46 , 248.01 ," 1,294.37 "," 1,342.61 "," 1,320.67 "," 1,231.20 "," 1,155.03 "
Capital Work in Progress, -   , 17.93 , 44.08 , 146.22 , 818.95 , 100.09 , 130.71 , 61.14 , 95.40 , 86.74 
Investments, -   , -   , -   , -   , -   , -   , 0.42 , 106.17 , 106.17 , 106.18 
Other Assets, -   , 8.18 , 15.20 , 90.80 , 87.25 , 105.78 , 568.16 , 260.49 , 274.56 , 297.95 
Total, -   , 250.26 , 285.97 , 467.48 ," 1,154.21 "," 1,500.24 "," 2,041.90 "," 1,748.47 "," 1,707.33 "," 1,645.90 "
,,,,,,,,,,
Working Capital, -   , (31.04), (2.18), 71.73 , 30.17 , 59.27 , 408.26 , 137.02 , 126.90 , 135.69 
Debtors, -   , -   , -   , -   , -   , 0.63 , 5.89 , 3.77 , 3.58 , 5.12 
Inventory, -   , -   , -   , -   , -   , 4.95 , 10.52 , 12.37 , 13.38 , 14.29 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , 2.22 , 11.35 , 5.88 , 5.47 , 7.91 
Inventory Turnover, -   , -   , -   , -   , -   , 20.97 , 18.01 , 18.92 , 17.87 , 16.54 
,,,,,,,,,,
Return on Equity,,0%,0%,0%,-1%,-17%,-15%,-15%,-23%,-38%
Return on Capital Emp,,0%,0%,0%,0%,-2%,-3%,-2%,-2%,-2%
,,,,,,,,,,
