ADVANI HOTELS & RESORTS (INDIA) LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 30.57 , 31.73 , 34.29 , 36.63 , 38.68 , 39.76 , 48.48 , 53.10 , 59.64 , 62.48 , 70.28 , 70.28 , 68.29 
Expenses, 31.32 , 30.66 , 30.45 , 29.15 , 30.54 , 32.74 , 37.12 , 39.50 , 42.48 , 47.21 , 54.10 , 51.82 , 54.97 
Operating Profit, (0.75), 1.07 , 3.84 , 7.48 , 8.14 , 7.02 , 11.36 , 13.60 , 17.16 , 15.27 , 16.18 , 18.46 , 13.32 
Other Income, 4.40 , 4.11 , 1.71 , 0.46 , 0.79 , 1.34 , 0.37 , 0.88 , 1.22 , 1.23 , 1.46 , -   , -   
Depreciation, 2.51 , 2.49 , 2.48 , 2.71 , 2.92 , 3.17 , 4.50 , 4.05 , 3.69 , 3.52 , 3.66 , 3.66 , 3.66 
Interest, 1.66 , 1.23 , 1.32 , 1.84 , 1.63 , 2.17 , 1.69 , 1.04 , 0.32 , 0.06 , 0.06 , 0.06 , 0.06 
Profit before tax, (0.52), 1.46 , 1.75 , 3.39 , 4.37 , 3.02 , 5.52 , 9.38 , 14.36 , 12.91 , 13.92 , 14.74 , 9.60 
Tax, (0.57), 0.69 , (0.10), 1.15 , 1.75 , 0.76 , 1.92 , 2.98 , 5.43 , 4.27 , 2.56 ,18%,18%
Net profit, 0.05 , 0.77 , 1.85 , 2.24 , 2.63 , 2.26 , 3.60 , 6.40 , 8.93 , 8.63 , 11.36 , 12.03 , 7.84 
EPS, 0.01 , 0.17 , 0.40 , 0.48 , 0.57 , 0.49 , 0.78 , 1.38 , 1.93 , 1.87 , 2.46 , 2.60 , 1.70 
Price to earning," 2,709.40 ", 263.67 , 92.34 , 65.00 , 52.06 , 71.02 , 59.73 , 34.65 , 32.70 , 33.66 , 25.45 , 31.61 , 25.45 
Price, 29.31 , 43.93 , 36.96 , 31.50 , 29.62 , 34.73 , 46.52 , 47.99 , 63.18 , 62.84 , 62.55 , 82.30 , 43.15 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,59.74%,49.73%,49.55%,45.63%,49.12%,53.89%,34.69%,31.02%,37.43%,,,
OPM,0.00%,3.37%,11.20%,20.42%,21.04%,17.66%,23.43%,25.61%,28.77%,24.44%,23.02%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,8.27%,8.95%,10.07%,8.82%,12.48%,12.48%,8.27%
,,,,,,OPM,19.51%,23.62%,24.45%,26.27%,23.02%,26.27%,19.51%
,,,,,,Price to Earning, 312.70 , 46.78 , 42.87 , 31.61 , 25.45 , 31.61 , 25.45 
