AGRO PHOS INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , 1.18 , 1.37 , 1.48 , 2.88 , 2.88 , 20.27 , 20.27 
Reserves, -   , -   , -   , 4.31 , 6.25 , 8.06 , 17.62 , 20.21 , 16.95 , 17.85 
Borrowings, -   , -   , -   , 9.11 , 14.80 , 12.80 , 17.90 , 21.21 , 22.55 , 18.48 
Other Liabilities, -   , -   , -   , 19.45 , 18.17 , 13.34 , 13.92 , 29.13 , 26.04 , 18.01 
Total, -   , -   , -   , 34.05 , 40.59 , 35.68 , 52.32 , 73.43 , 85.81 , 74.61 
,,,,,,,,,,
Net Block, -   , -   , -   , 4.00 , 4.46 , 4.61 , 16.84 , 16.59 , 15.80 , 14.82 
Capital Work in Progress, -   , -   , -   , 0.50 , 2.40 , 4.99 , 0.13 , 0.17 , 0.14 , 0.18 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , 0.35 , 0.35 
Other Assets, -   , -   , -   , 29.55 , 33.73 , 26.08 , 35.35 , 56.67 , 69.52 , 59.26 
Total, -   , -   , -   , 34.05 , 40.59 , 35.68 , 52.32 , 73.43 , 85.81 , 74.61 
,,,,,,,,,,
Working Capital, -   , -   , -   , 10.10 , 15.56 , 12.74 , 21.43 , 27.54 , 43.48 , 41.25 
Debtors, -   , -   , -   , 5.26 , 4.14 , 4.34 , 8.07 , 15.46 , 29.57 , 24.31 
Inventory, -   , -   , -   , 8.82 , 13.59 , 10.30 , 8.86 , 13.19 , 12.93 , 15.42 
,,,,,,,,,,
Debtor Days, -   , -   , -   , 33.26 , 25.84 , 25.47 , 44.87 , 74.59 , 167.62 , 148.75 
Inventory Turnover, -   , -   , -   , 6.54 , 4.30 , 6.04 , 7.41 , 5.74 , 4.98 , 3.87 
,,,,,,,,,,
Return on Equity,,,,32%,18%,13%,49%,10%,3%,2%
Return on Capital Emp,,,,50%,20%,15%,28%,20%,11%,8%
,,,,,,,,,,
