AKSH OPTIFIBRE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (41.32), 21.34 , (119.96), 56.75 , (10.75), 13.16 , 7.09 , 29.44 , 55.49 , 3.11 
Cash from Investing Activity, (96.67), 3.07 , 1.36 , 5.28 , 19.57 , (12.62), 1.43 , (8.13), (58.93), (80.14)
Cash from Financing Activity, 160.85 , (44.26), 118.13 , (61.47), (7.64), (1.93), (5.13), (22.08), 1.51 , 80.07 
Net Cash Flow, 22.86 , (19.85), (0.47), 0.56 , 1.18 , (1.39), 3.39 , (0.77), (1.93), 3.03 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
