ALANKIT LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 0.02 , 7.04 , 3.70 , 11.74 , 12.14 , 1.66 , 3.77 , 30.27 , 84.95 , 104.43 , 123.02 , 315.98 , 132.64 
Expenses, 0.11 , 6.83 , 3.30 , 12.06 , 13.09 , 1.47 , 2.90 , 21.75 , 63.62 , 74.94 , 104.81 , 230.61 , 113.01 
Operating Profit, (0.09), 0.21 , 0.40 , (0.32), (0.95), 0.19 , 0.87 , 8.52 , 21.33 , 29.49 , 18.21 , 85.36 , 19.63 
Other Income, 0.26 , -   , -   , 0.82 , 0.08 , -   , 0.21 , -   , 1.71 , 2.90 , 6.94 , -   , -   
Depreciation, 0.02 , 0.01 , -   , -   , -   , -   , 0.06 , 3.41 , 1.46 , 3.54 , 3.69 , 3.69 , 3.69 
Interest, 0.06 , -   , 0.01 , -   , 0.01 , -   , -   , 0.03 , 1.30 , 3.44 , 1.01 , 1.01 , 1.01 
Profit before tax, 0.09 , 0.20 , 0.39 , 0.49 , (0.89), 0.20 , 1.02 , 5.07 , 20.28 , 25.41 , 20.45 , 80.66 , 14.93 
Tax, -   , 0.03 , 0.07 , 0.09 , (1.38), 0.06 , 0.65 , 1.54 , 7.02 , 4.05 , 7.28 ,36%,36%
Net profit, 0.09 , 0.17 , 0.32 , 0.41 , 0.50 , 0.14 , 0.37 , 3.53 , 13.26 , 21.35 , 13.17 , 51.95 , 9.62 
EPS, 1.68 , 3.17 , 0.33 , 0.08 , 0.10 , 0.03 , 0.05 , 0.49 , 0.93 , 1.49 , 0.92 , 3.63 , 0.67 
Price to earning,  ,  ,  , 8.28 , 37.00 , 132.91 , 219.31 , 52.58 , 24.59 , 29.85 , 38.43 , 38.43 , 36.36 
Price, -   , -   , -   , 0.70 , 3.82 , 3.84 , 11.35 , 25.97 , 22.81 , 44.58 , 35.40 , 139.63 , 24.46 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,191.89%,40.51%,21.57%,13.40%,,,
OPM,0.00%,2.98%,10.81%,0.00%,0.00%,11.45%,23.08%,28.15%,25.11%,28.24%,14.80%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,158.87%,61.15%,53.79%,202.57%,22.93%,202.57%,22.93%
,,,,,,OPM,23.49%,24.26%,26.83%,27.02%,14.80%,27.02%,14.80%
,,,,,,Price to Earning, 67.87 , 67.87 , 82.95 , 36.36 , 38.43 , 38.43 , 36.36 
