ALBERT DAVID LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 5.71 , 5.71 , 5.71 , 5.71 , 5.71 , 5.71 , 5.71 , 5.71 , 5.71 , 5.71 
Reserves, 50.06 , 57.34 , 65.20 , 69.85 , 75.40 , 84.63 , 87.11 , 131.12 , 177.31 , 180.24 
Borrowings, 58.29 , 55.45 , 9.22 , 39.68 , 37.79 , 42.09 , 30.10 , 20.23 , 30.03 , 27.64 
Other Liabilities, 47.32 , 66.49 , 119.54 , 90.20 , 67.25 , 68.90 , 71.42 , 67.70 , 73.43 , 77.92 
Total, 161.38 , 184.99 , 199.67 , 205.44 , 186.15 , 201.33 , 194.34 , 224.76 , 286.48 , 291.51 
,,,,,,,,,,
Net Block, 71.83 , 76.22 , 68.95 , 69.43 , 71.92 , 67.45 , 49.47 , 44.44 , 86.76 , 82.84 
Capital Work in Progress, 0.61 , 1.00 , 2.97 , 6.03 , 1.34 , 2.60 , 5.04 , 5.01 , 8.67 , 5.25 
Investments, 0.01 , 0.01 , -   , -   , -   , 16.50 , 16.50 , 47.54 , 58.91 , 67.88 
Other Assets, 88.93 , 107.76 , 127.75 , 129.98 , 112.89 , 114.78 , 123.33 , 127.77 , 132.14 , 135.54 
Total, 161.38 , 184.99 , 199.67 , 205.44 , 186.15 , 201.33 , 194.34 , 224.76 , 286.48 , 291.51 
,,,,,,,,,,
Working Capital, 41.61 , 41.27 , 8.21 , 39.78 , 45.64 , 45.88 , 51.91 , 60.07 , 58.71 , 57.62 
Debtors, 21.41 , 26.16 , 19.42 , 29.76 , 36.97 , 42.59 , 41.08 , 35.46 , 33.07 , 27.32 
Inventory, 34.13 , 31.45 , 34.70 , 40.25 , 42.56 , 43.12 , 52.14 , 48.54 , 50.66 , 43.21 
,,,,,,,,,,
Debtor Days, 43.20 , 47.80 , 32.66 , 47.61 , 51.61 , 54.21 , 47.23 , 40.73 , 41.20 , 34.95 
Inventory Turnover, 5.30 , 6.35 , 6.25 , 5.67 , 6.14 , 6.65 , 6.09 , 6.55 , 5.78 , 6.60 
,,,,,,,,,,
Return on Equity,14%,16%,15%,10%,11%,14%,15%,35%,9%,5%
Return on Capital Emp,,17%,20%,16%,14%,18%,18%,46%,15%,9%
,,,,,,,,,,
