ALICON CASTALLOY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 300.70 , 209.69 , 256.67 , 380.82 , 431.44 , 441.05 , 638.98 , 682.55 , 711.11 , 928.64 ," 1,073.71 "," 1,212.71 "," 1,071.14 "
Expenses, 271.91 , 175.81 , 218.58 , 328.95 , 380.96 , 394.28 , 569.37 , 608.95 , 630.36 , 825.60 , 941.64 ," 1,063.55 ", 953.46 
Operating Profit, 28.79 , 33.88 , 38.09 , 51.87 , 50.48 , 46.77 , 69.61 , 73.60 , 80.75 , 103.04 , 132.07 , 149.17 , 117.67 
Other Income, 2.48 , 2.80 , 1.80 , 3.35 , 3.67 , 3.05 , 1.81 , 3.16 , 3.68 , 8.57 , 9.81 , -   , -   
Depreciation, 26.93 , 12.55 , 12.62 , 14.97 , 17.51 , 17.57 , 22.82 , 23.59 , 25.00 , 29.90 , 35.29 , 35.29 , 35.29 
Interest, 16.71 , 7.65 , 8.67 , 12.30 , 10.43 , 10.22 , 18.86 , 21.63 , 25.44 , 28.80 , 33.76 , 33.76 , 33.76 
Profit before tax, (12.37), 16.48 , 18.60 , 27.96 , 26.20 , 22.02 , 29.73 , 31.52 , 33.97 , 52.89 , 72.83 , 80.12 , 48.62 
Tax, (0.86), 3.08 , 3.97 , 5.95 , 4.96 , 5.89 , 9.00 , 9.65 , 10.68 , 16.72 , 22.65 ,31%,31%
Net profit, (11.51), 13.40 , 14.63 , 22.01 , 21.24 , 16.13 , 20.73 , 21.87 , 23.30 , 36.17 , 50.19 , 55.20 , 33.50 
EPS, (10.46), 12.18 , 13.30 , 20.01 , 19.31 , 14.66 , 18.85 , 17.84 , 19.01 , 27.06 , 36.80 , 40.47 , 24.56 
Price to earning, (1.58), 8.12 , 4.31 , 3.10 , 2.80 , 6.13 , 15.21 , 17.23 , 24.55 , 22.66 , 16.18 , 20.16 , 12.03 
Price, 16.57 , 98.98 , 57.27 , 62.12 , 53.97 , 89.84 , 286.58 , 307.51 , 466.77 , 613.36 , 595.20 , 815.74 , 295.44 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,8.21%,7.52%,6.86%,10.36%,17.05%,15.92%,21.03%,22.36%,23.09%,,,
OPM,9.57%,16.16%,14.84%,13.62%,11.70%,10.60%,10.89%,10.78%,11.36%,11.10%,12.30%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,13.35%,20.17%,16.57%,13.27%,30.59%,30.59%,13.27%
,,,,,,OPM,11.58%,11.30%,10.99%,11.08%,12.30%,12.30%,10.99%
,,,,,,Price to Earning, 12.03 , 13.48 , 16.99 , 20.16 , 16.18 , 20.16 , 12.03 
