ALLCARGO LOGISTICS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 22.36 , 24.96 , 26.10 , 26.11 , 25.28 , 25.21 , 25.21 , 50.42 , 49.14 , 49.14 
Reserves, 445.15 , 765.18 , 951.68 ," 1,114.02 "," 1,149.86 "," 1,190.66 "," 1,255.04 "," 1,311.84 "," 1,293.27 "," 1,267.77 "
Borrowings, 206.26 , 109.29 , 247.25 , 558.99 , 468.32 , 434.63 , 274.18 , 194.93 , 363.34 , 278.58 
Other Liabilities, 120.80 , 116.98 , 227.78 , 274.35 , 368.64 , 291.81 , 304.50 , 282.86 , 326.59 , 337.49 
Total, 794.57 ," 1,016.41 "," 1,452.81 "," 1,973.47 "," 2,012.10 "," 1,942.31 "," 1,858.93 "," 1,840.05 "," 2,032.34 "," 1,932.98 "
,,,,,,,,,,
Net Block, 315.16 , 410.25 , 642.07 , 964.35 , 983.22 , 973.82 , 869.07 , 802.19 , 920.21 , 875.35 
Capital Work in Progress, 59.45 , 61.75 , 47.46 , 43.23 , 12.83 , 6.93 , 12.02 , 10.24 , 36.62 , 9.96 
Investments, 115.22 , 200.34 , 179.07 , 397.50 , 489.76 , 468.53 , 379.89 , 439.57 , 499.82 , 480.20 
Other Assets, 304.74 , 344.07 , 584.21 , 568.39 , 526.29 , 493.03 , 597.95 , 588.05 , 575.69 , 567.47 
Total, 794.57 ," 1,016.41 "," 1,452.81 "," 1,973.47 "," 2,012.10 "," 1,942.31 "," 1,858.93 "," 1,840.05 "," 2,032.34 "," 1,932.98 "
,,,,,,,,,,
Working Capital, 183.94 , 227.09 , 356.43 , 294.04 , 157.65 , 201.22 , 293.45 , 305.19 , 249.10 , 229.98 
Debtors, 71.33 , 72.86 , 93.99 , 131.32 , 149.66 , 158.64 , 168.26 , 185.46 , 223.57 , 253.42 
Inventory, 1.96 , 2.71 , 6.33 , 11.04 , 8.97 , 8.89 , 8.76 , 9.08 , 9.43 , 9.53 
,,,,,,,,,,
Debtor Days, 50.84 , 52.60 , 48.88 , 43.77 , 53.66 , 58.55 , 53.98 , 56.14 , 69.53 , 77.32 
Inventory Turnover, 261.28 , 186.57 , 110.87 , 99.19 , 113.50 , 111.25 , 129.87 , 132.78 , 124.45 , 125.53 
,,,,,,,,,,
Return on Equity,20%,12%,12%,16%,10%,5%,8%,9%,8%,2%
Return on Capital Emp,,15%,15%,19%,9%,6%,10%,11%,10%,3%
,,,,,,,,,,
