ALLCARGO LOGISTICS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 64.28 , 137.67 , 121.91 , 261.61 , 230.11 , 175.98 , 196.13 , 197.18 , 179.20 , 157.61 
Cash from Investing Activity, (232.88), (235.41), (335.09), (438.46), (46.86), (41.08), 27.42 , (32.05), (175.10), 5.61 
Cash from Financing Activity, 186.51 , 85.49 , 206.34 , 169.70 , (177.55), (134.54), (213.22), (168.81), (6.20), (163.24)
Net Cash Flow, 17.91 , (12.25), (6.84), (7.15), 5.70 , 0.36 , 10.33 , (3.68), (2.10), (0.02)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
