ALLSEC TECHNOLOGIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 15.24 , 15.24 , 15.24 , 15.24 , 15.24 , 15.24 , 15.24 , 15.24 , 15.24 , 15.24 
Reserves, 128.32 , 120.43 , 116.56 , 102.87 , 99.54 , 104.97 , 99.28 , 108.76 , 130.55 , 159.54 
Borrowings, 0.59 , 2.56 , 3.36 , 2.00 , 1.16 , 1.21 , 1.79 , 0.66 , 0.57 , 0.98 
Other Liabilities, 17.78 , 20.17 , 24.57 , 19.49 , 12.59 , 12.41 , 10.95 , 10.70 , 12.62 , 13.83 
Total, 161.93 , 158.40 , 159.73 , 139.60 , 128.53 , 133.83 , 127.26 , 135.36 , 158.98 , 189.59 
,,,,,,,,,,
Net Block, 26.67 , 35.61 , 32.97 , 31.17 , 22.93 , 17.67 , 9.27 , 7.45 , 7.65 , 10.13 
Capital Work in Progress, -   , 0.09 , 2.95 , 0.14 , 0.91 , 0.02 , -   , -   , 0.28 , -   
Investments, 45.38 , 27.16 , 42.52 , 31.18 , 35.32 , 61.79 , 52.82 , 67.24 , 103.28 , 108.57 
Other Assets, 89.88 , 95.54 , 81.29 , 77.11 , 69.37 , 54.35 , 65.17 , 60.67 , 47.77 , 70.89 
Total, 161.93 , 158.40 , 159.73 , 139.60 , 128.53 , 133.83 , 127.26 , 135.36 , 158.98 , 189.59 
,,,,,,,,,,
Working Capital, 72.10 , 75.37 , 56.72 , 57.62 , 56.78 , 41.94 , 54.22 , 49.97 , 35.15 , 57.06 
Debtors, 38.19 , 40.85 , 28.87 , 27.37 , 23.58 , 23.44 , 23.23 , 24.47 , 23.08 , 23.06 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, 144.46 , 122.14 , 74.45 , 80.11 , 80.08 , 80.15 , 86.99 , 82.42 , 72.49 , 65.36 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,-5%,-5%,-3%,-12%,-3%,5%,-2%,8%,15%,17%
Return on Capital Emp,,-5%,-3%,-11%,-2%,5%,-1%,11%,16%,16%
,,,,,,,,,,
