ALLSEC TECHNOLOGIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (6.19), (5.52), 6.51 , (9.31), 12.18 , 12.16 , (1.42), 19.38 , 20.42 , 17.54 
Cash from Investing Activity, 24.49 , 1.32 , (24.43), 4.34 , (8.65), (14.23), 0.55 , (15.41), (22.39), (6.15)
Cash from Financing Activity, 0.12 , 1.87 , 0.72 , (1.54), (0.98), (0.33), 0.42 , (1.28), (0.41), 0.19 
Net Cash Flow, 18.42 , (2.33), (17.20), (6.51), 2.55 , (2.40), (0.45), 2.69 , (2.38), 11.58 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
