ALOK INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-08,Mar-09,Mar-10,Mar-11,Mar-12,Sep-13,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 2,122.04 "," 2,907.71 "," 4,214.40 "," 6,388.43 "," 8,900.86 "," 19,917.75 "," 22,130.72 "," 11,748.75 "," 8,129.69 "," 5,333.62 "," 3,200.05 "," 3,499.21 "," 4,125.00 "
Expenses," 1,641.77 "," 2,171.14 "," 3,097.96 "," 4,549.24 "," 6,351.24 "," 14,493.50 "," 17,084.77 "," 14,621.36 "," 10,003.39 "," 18,563.69 "," 3,644.12 "," 3,499.21 "," 4,125.00 "
Operating Profit, 480.27 , 736.57 ," 1,116.44 "," 1,839.19 "," 2,549.62 "," 5,424.25 "," 5,045.95 "," (2,872.61)"," (1,873.70)"," (13,230.07)", (444.07), -   , -   
Other Income, 222.10 , 152.46 , 169.50 , (0.94), (46.14), (121.13), 224.46 , 233.93 , 33.87 , 236.31 , 185.11 , -   , -   
Depreciation, 161.96 , 233.50 , 362.61 , 518.79 , 713.43 ," 1,360.77 "," 1,461.21 "," 1,016.39 ", 512.63 , 527.80 , 540.80 , 540.80 , 540.80 
Interest, 242.82 , 370.54 , 548.54 , 736.27 ," 1,149.55 "," 2,542.45 "," 3,251.16 "," 2,704.59 "," 3,273.52 "," 4,682.87 "," 4,330.81 "," 4,330.81 "," 4,330.81 "
Profit before tax, 297.59 , 284.99 , 374.79 , 583.19 , 640.50 ," 1,399.90 ", 558.04 ," (6,359.66)"," (5,625.98)"," (18,204.43)"," (5,130.57)"," (4,871.61)"," (4,871.61)"
Tax, 98.93 , 96.62 , 127.45 , 178.83 , 259.97 , 479.74 , 209.28 ," (2,153.72)"," (2,123.56)", 11.19 , 13.80 ,0%,0%
Net profit, 198.66 , 188.37 , 247.34 , 404.36 , 380.53 , 920.16 , 348.76 ," (4,205.94)"," (3,502.42)"," (18,215.62)"," (5,144.37)"," (4,871.61)"," (4,871.61)"
EPS, 10.57 , 9.53 , 3.14 , 5.13 , 4.61 , 6.68 , 2.53 , (30.54), (25.43), (132.25), (37.35), (35.37), (35.37)
Price to earning, 5.34 , 1.46 , 6.79 , 4.95 , 4.27 , 1.21 , 3.09 , (0.15), (0.12), (0.03), -   , -   , -   
Price, 56.44 , 13.95 , 21.29 , 25.40 , 19.67 , 8.10 , 7.83 , 4.73 , 3.02 , 3.32 , 3.85 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,11.31%,7.84%,7.96%,4.87%,6.51%,4.49%,0.00%,0.00%,0.00%,0.00%,,,
OPM,22.63%,25.33%,26.49%,28.79%,28.64%,27.23%,22.80%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,10.78%,3.42%,-9.74%,-37.77%,-34.39%,-34.39%,-37.77%
,,,,,,OPM,18.73%,18.00%,15.57%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 3.87 , 3.38 , 2.15 ,  , -   , -   , -   
