ALPHAGEO (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 5.13 , 5.13 , 5.15 , 5.15 , 5.40 , 5.65 , 5.65 , 5.65 , 6.13 , 6.38 
Reserves, 49.14 , 58.29 , 45.66 , 40.27 , 31.31 , 42.30 , 55.84 , 61.44 , 137.06 , 199.49 
Borrowings, 11.75 , 1.83 , 1.20 , 2.81 , 1.88 , 4.43 , 1.30 , 2.40 , 48.17 , 46.53 
Other Liabilities, 14.29 , 11.56 , 6.90 , 6.09 , 17.99 , 19.55 , 6.26 , 56.17 , 132.39 , 93.94 
Total, 80.31 , 76.81 , 58.91 , 54.32 , 56.58 , 71.93 , 69.05 , 125.66 , 323.75 , 346.34 
,,,,,,,,,,
Net Block, 53.65 , 41.99 , 26.35 , 17.21 , 11.95 , 23.42 , 18.12 , 46.34 , 113.70 , 97.24 
Capital Work in Progress, -   , 0.37 , 0.86 , 1.04 , 14.78 , 1.04 , 1.04 , 1.04 , 1.04 , 1.04 
Investments, -   , 5.29 , 0.01 , 13.22 , 13.22 , 13.22 , 16.91 , 13.22 , 13.22 , 13.30 
Other Assets, 26.66 , 29.16 , 31.69 , 22.85 , 16.63 , 34.25 , 32.98 , 65.06 , 195.79 , 234.76 
Total, 80.31 , 76.81 , 58.91 , 54.32 , 56.58 , 71.93 , 69.05 , 125.66 , 323.75 , 346.34 
,,,,,,,,,,
Working Capital, 12.37 , 17.60 , 24.79 , 16.76 , (1.36), 14.70 , 26.72 , 8.89 , 63.40 , 140.82 
Debtors, 20.66 , 19.54 , 8.33 , 12.48 , 2.33 , 22.50 , 9.30 , 39.59 , 157.36 , 195.97 
Inventory, 0.24 , 0.22 , 0.07 , 0.22 , 0.93 , 0.25 , 0.22 , 0.10 , 0.32 , 0.51 
,,,,,,,,,,
Debtor Days, 118.05 , 91.05 , 145.76 , 180.55 , 98.20 , 184.92 , 53.06 , 210.65 , 193.68 , 166.56 
Inventory Turnover, 266.17 , 356.05 , 298.00 , 114.68 , 9.31 , 177.64 , 290.77 , 686.00 , 926.75 , 842.04 
,,,,,,,,,,
Return on Equity,11%,15%,-25%,-11%,-27%,23%,24%,10%,34%,27%
Return on Capital Emp,,25%,-25%,-10%,-21%,27%,28%,17%,59%,42%
,,,,,,,,,,
