ANDHRA CEMENTS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Jun-11,Mar-12,Mar-13,Mar-14,Jun-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 132.70 , 77.07 , 27.78 , (25.62), (107.37), 61.09 , 151.17 , 42.54 , 54.98 , 93.24 
Cash from Investing Activity, (215.03), (189.31), (51.42), (52.91), (181.86), (191.95), (207.39), (17.28), (2.59), 41.87 
Cash from Financing Activity, 73.24 , 106.25 , 22.69 , 178.57 , 209.89 , 120.95 , 61.86 , (33.71), (54.76), (119.03)
Net Cash Flow, (9.09), (5.99), (0.95), 100.04 , (79.34), (9.91), 5.64 , (8.45), (2.37), 16.08 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
