ANDHRA SUGARS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 122.06 , 181.01 , (8.62), 52.91 , 150.85 , 56.93 , 17.85 , 166.35 , 254.76 , 163.36 
Cash from Investing Activity, (45.75), (35.52), (46.33), (38.26), (39.29), (53.31), (36.39), (64.16), (260.15), (7.98)
Cash from Financing Activity, (79.79), (141.37), 63.88 , (15.18), (107.94), (6.95), 20.57 , (106.07), 6.12 , (148.44)
Net Cash Flow, (3.48), 4.12 , 8.93 , (0.53), 3.62 , (3.33), 2.03 , (3.87), 0.74 , 6.94 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
