ANIK INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 1,010.44 "," 1,213.40 "," 1,276.62 "," 1,607.70 "," 1,264.00 "," 1,448.07 ", 453.54 , 234.12 , 489.77 , 609.67 , 614.09 , 758.92 , 526.34 
Expenses, 998.25 ," 1,197.33 "," 1,251.33 "," 1,578.90 "," 1,237.65 "," 1,428.45 ", 450.23 , 246.07 , 624.70 , 605.71 , 609.40 , 753.13 , 524.78 
Operating Profit, 12.19 , 16.07 , 25.29 , 28.80 , 26.35 , 19.62 , 3.31 , (11.95), (134.93), 3.96 , 4.69 , 5.80 , 1.56 
Other Income, 10.54 , 34.21 , 31.68 , 51.00 , 40.12 , 56.71 , 27.86 , 23.97 , 214.90 , 26.82 , 9.43 , -   , -   
Depreciation, 3.54 , 3.88 , 4.96 , 5.64 , 5.72 , 5.36 , 1.24 , 0.85 , 0.83 , 0.93 , 0.90 , 0.90 , 0.90 
Interest, 4.73 , 31.19 , 35.74 , 58.05 , 47.69 , 56.89 , 17.76 , 5.42 , 43.65 , 12.42 , 14.46 , 14.46 , 14.46 
Profit before tax, 14.46 , 15.21 , 16.27 , 16.12 , 13.08 , 14.08 , 12.17 , 5.76 , 35.51 , 17.44 , (1.24), (9.56), (13.80)
Tax, 3.67 , 4.15 , 6.18 , 2.87 , 2.42 , 2.97 , 1.86 , 0.18 , (0.89), 3.60 , 0.75 ,0%,0%
Net profit, 10.79 , 11.06 , 10.09 , 13.24 , 10.66 , 11.11 , 10.31 , 5.58 , 36.39 , 13.84 , (1.99), (9.56), (13.80)
EPS, 3.89 , 3.99 , 3.64 , 4.77 , 3.84 , 4.00 , 3.71 , 2.01 , 13.11 , 4.99 , (0.72), (3.45), (4.97)
Price to earning, 5.86 , 14.98 , 12.42 , 6.12 , 5.20 , 5.50 , 6.41 , 16.23 , 2.31 , 7.67 , -   , 8.74 , -   
Price, 22.78 , 59.71 , 45.14 , 29.20 , 19.97 , 22.01 , 23.82 , 32.63 , 30.35 , 38.23 , 13.55 , (30.11), -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,15.48%,15.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,1.21%,1.32%,1.98%,1.79%,2.08%,1.35%,0.73%,0.00%,0.00%,0.65%,0.76%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-5.46%,-10.02%,-13.57%,10.36%,24.48%,24.48%,-13.57%
,,,,,,OPM,1.41%,1.34%,0.83%,0.30%,0.76%,0.76%,0.30%
,,,,,,Price to Earning, 8.27 , 7.06 , 7.62 , 8.74 , -   , 8.74 , -   
