ANSAL PROPERTIES & INFRASTRUCTURE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 56.75 , 61.56 , 78.70 , 78.70 , 78.70 , 78.70 , 78.70 , 78.70 , 78.70 , 78.70 
Reserves," 1,065.21 "," 1,161.30 "," 1,503.42 "," 1,537.86 "," 1,581.97 "," 1,556.84 "," 1,578.28 "," 1,609.60 "," 1,618.06 "," 1,579.75 "
Borrowings," 1,171.05 "," 1,352.98 "," 1,227.56 "," 1,031.46 ", 809.17 , 709.49 , 726.77 , 684.85 , 675.28 , 565.36 
Other Liabilities," 1,066.98 "," 1,273.11 "," 1,858.92 "," 2,391.27 "," 2,879.15 "," 3,165.83 "," 3,124.63 "," 3,248.88 "," 3,043.70 "," 2,947.78 "
Total," 3,359.99 "," 3,848.95 "," 4,668.60 "," 5,039.29 "," 5,348.99 "," 5,510.86 "," 5,508.38 "," 5,622.03 "," 5,415.74 "," 5,171.59 "
,,,,,,,,,,
Net Block, 116.14 , 105.07 , 103.74 , 108.98 , 113.37 , 105.64 , 103.46 , 27.73 , 42.27 , 36.66 
Capital Work in Progress, -   , -   , 0.88 , 0.12 , 13.55 , 22.24 , 17.28 , -   , -   , -   
Investments, 159.67 , 159.72 , 215.42 , 453.21 , 546.29 , 567.29 , 577.29 , 679.59 , 664.33 , 638.71 
Other Assets," 3,084.18 "," 3,584.16 "," 4,348.56 "," 4,476.98 "," 4,675.78 "," 4,815.69 "," 4,810.35 "," 4,914.71 "," 4,709.14 "," 4,496.22 "
Total," 3,359.99 "," 3,848.95 "," 4,668.60 "," 5,039.29 "," 5,348.99 "," 5,510.86 "," 5,508.38 "," 5,622.03 "," 5,415.74 "," 5,171.59 "
,,,,,,,,,,
Working Capital," 2,017.20 "," 2,311.05 "," 2,489.64 "," 2,085.71 "," 1,796.63 "," 1,649.86 "," 1,685.72 "," 1,665.83 "," 1,665.44 "," 1,548.44 "
Debtors, 436.82 , 533.29 , 725.00 , 334.04 , 490.89 , 504.38 , 585.57 , 649.82 , 588.74 , 514.03 
Inventory," 1,652.46 "," 2,001.37 "," 2,240.65 "," 2,235.56 "," 2,409.69 "," 2,518.58 "," 2,552.61 "," 2,480.68 "," 2,327.56 "," 2,160.37 "
,,,,,,,,,,
Debtor Days, 250.07 , 270.47 , 244.85 , 118.41 , 172.95 , 201.45 , 254.39 , 339.01 , 321.57 , 343.29 
Inventory Turnover, 0.39 , 0.36 , 0.48 , 0.46 , 0.43 , 0.36 , 0.33 , 0.28 , 0.29 , 0.25 
,,,,,,,,,,
Return on Equity,5%,6%,5%,2%,3%,1%,1%,2%,1%,-2%
Return on Capital Emp,,8%,8%,5%,5%,3%,2%,3%,2%,2%
,,,,,,,,,,
