APCOTEX INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19
Equity Share Capital, 5.22 , 5.22 , 5.22 , 5.22 , 5.22 , 5.22 , 10.41 , 10.41 , 10.37 , 10.37 
Reserves, 52.48 , 58.97 , 64.55 , 72.97 , 80.05 , 94.53 , 176.81 , 212.51 , 236.02 , 267.38 
Borrowings, 14.78 , 26.88 , 58.10 , 47.84 , 47.98 , 31.09 , 25.42 , 22.24 , 17.37 , 3.99 
Other Liabilities, 28.67 , 34.92 , 39.06 , 46.88 , 50.58 , 50.30 , 82.38 , 57.49 , 84.77 , 99.59 
Total, 101.15 , 125.99 , 166.93 , 172.91 , 183.83 , 181.14 , 295.02 , 302.65 , 348.53 , 381.33 
,,,,,,,,,,
Net Block, 28.38 , 28.88 , 31.78 , 64.99 , 67.79 , 63.25 , 89.85 , 87.90 , 78.64 , 76.42 
Capital Work in Progress, 2.69 , 3.09 , 7.22 , 1.37 , 1.13 , 1.88 , 4.89 , 5.96 , 9.12 , 21.19 
Investments, 19.38 , 19.44 , 21.41 , 22.52 , 24.45 , 30.76 , 17.81 , 39.78 , 75.38 , 68.92 
Other Assets, 50.70 , 74.58 , 106.52 , 84.03 , 90.46 , 85.25 , 182.47 , 169.01 , 185.39 , 214.80 
Total, 101.15 , 125.99 , 166.93 , 172.91 , 183.83 , 181.14 , 295.02 , 302.65 , 348.53 , 381.33 
,,,,,,,,,,
Working Capital, 22.03 , 39.66 , 67.46 , 37.15 , 39.88 , 34.95 , 100.09 , 111.52 , 100.62 , 115.21 
Debtors, 29.17 , 37.05 , 44.77 , 47.18 , 51.71 , 48.70 , 83.84 , 78.13 , 98.24 , 111.19 
Inventory, 10.48 , 16.48 , 13.53 , 10.79 , 17.10 , 15.22 , 43.34 , 44.50 , 49.30 , 48.17 
,,,,,,,,,,
Debtor Days, 74.42 , 66.58 , 64.65 , 63.75 , 64.42 , 50.56 , 115.46 , 66.17 , 68.15 , 64.87 
Inventory Turnover, 13.65 , 12.32 , 18.68 , 25.04 , 17.13 , 23.10 , 6.12 , 9.69 , 10.67 , 12.99 
,,,,,,,,,,
Return on Equity,14%,17%,16%,16%,15%,25%,13%,16%,16%,17%
Return on Capital Emp,,22%,19%,16%,16%,29%,21%,21%,23%,24%
,,,,,,,,,,
