APOLLO TYRES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 4,070.44 "," 5,036.56 "," 5,490.49 "," 8,157.88 "," 8,511.73 "," 8,711.74 "," 8,967.34 "," 8,757.18 "," 8,933.77 "," 10,299.70 "," 12,353.77 "," 12,353.77 "," 10,779.90 "
Expenses," 3,747.18 "," 4,241.52 "," 4,965.27 "," 7,484.20 "," 7,603.31 "," 7,604.62 "," 7,645.58 "," 7,185.41 "," 7,599.64 "," 9,050.27 "," 10,874.68 "," 10,519.80 "," 9,489.24 "
Operating Profit, 323.26 , 795.04 , 525.22 , 673.68 , 908.42 ," 1,107.12 "," 1,321.76 "," 1,571.77 "," 1,334.13 "," 1,249.43 "," 1,479.09 "," 1,833.97 "," 1,290.65 "
Other Income, 24.74 , 14.47 , 48.55 , 16.91 , 52.92 , 5.79 , 34.93 , 201.56 , 131.93 , 121.85 , (88.52), -   , -   
Depreciation, 98.01 , 122.78 , 147.35 , 185.69 , 220.07 , 248.05 , 246.78 , 265.14 , 288.20 , 364.38 , 446.33 , 446.33 , 446.33 
Interest, 78.82 , 88.54 , 162.87 , 247.39 , 266.75 , 250.40 , 175.75 , 93.66 , 92.22 , 139.60 , 137.85 , 137.85 , 137.85 
Profit before tax, 171.17 , 598.19 , 263.55 , 257.51 , 474.52 , 614.44 , 934.14 ," 1,414.52 "," 1,085.63 ", 867.31 , 806.39 ," 1,249.79 ", 706.47 
Tax, 63.05 , 183.20 , 65.30 , 76.18 , 161.99 , 171.83 , 289.06 , 412.38 , 282.88 , 244.93 , 214.29 ,27%,27%
Net profit, 108.12 , 414.99 , 198.25 , 181.33 , 312.53 , 442.62 , 645.08 ," 1,002.15 ", 802.76 , 622.39 , 592.10 , 917.67 , 518.74 
EPS, 2.14 , 8.23 , 3.93 , 3.60 , 6.20 , 8.78 , 12.67 , 19.69 , 15.77 , 10.88 , 10.35 , 16.04 , 9.07 
Price to earning, 9.83 , 9.04 , 17.57 , 24.45 , 14.08 , 18.90 , 14.06 , 8.52 , 14.46 , 26.68 , 19.24 , 19.24 , 16.07 
Price, 21.09 , 74.40 , 69.12 , 87.95 , 87.29 , 165.99 , 178.16 , 167.67 , 228.04 , 290.23 , 199.10 , 308.58 , 145.76 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,20.98%,9.11%,12.71%,13.90%,8.06%,8.54%,15.78%,10.16%,19.02%,27.58%,,,
OPM,7.94%,15.79%,9.57%,8.26%,10.67%,12.71%,14.74%,17.95%,14.93%,12.13%,11.97%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,10.87%,9.40%,3.89%,4.73%,19.94%,19.94%,3.89%
,,,,,,OPM,12.75%,13.10%,14.42%,14.85%,11.97%,14.85%,11.97%
,,,,,,Price to Earning, 16.07 , 17.55 , 16.97 , 17.22 , 19.24 , 19.24 , 16.07 
