ARCOTECH LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 20.00 , 20.00 , 20.00 , 20.00 , 20.00 , 21.00 , 21.00 , 21.00 , 21.00 , 21.00 
Reserves, 17.32 , 24.99 , 39.16 , 56.90 , 79.81 , 114.55 , 145.78 , 178.46 , 205.90 , 206.02 
Borrowings, 8.63 , 45.22 , 69.78 , 80.10 , 141.01 , 214.34 , 203.48 , 312.61 , 300.24 , 346.72 
Other Liabilities, 6.51 , 9.95 , 32.60 , 53.94 , 93.52 , 110.58 , 149.95 , 196.72 , 210.64 , 205.54 
Total, 52.46 , 100.16 , 161.54 , 210.94 , 334.34 , 460.47 , 520.21 , 708.79 , 737.78 , 779.28 
,,,,,,,,,,
Net Block, 13.74 , 32.31 , 41.27 , 49.17 , 69.19 , 87.48 , 92.62 , 119.52 , 139.22 , 186.16 
Capital Work in Progress, 2.44 , 4.17 , 1.52 , 2.07 , 1.69 , -   , 10.94 , 53.90 , 14.38 , -   
Investments, 1.55 , -   , -   , -   , 0.01 , 0.01 , 0.01 , 0.05 , 0.14 , 0.31 
Other Assets, 34.73 , 63.68 , 118.75 , 159.70 , 263.45 , 372.98 , 416.64 , 535.32 , 584.04 , 592.81 
Total, 52.46 , 100.16 , 161.54 , 210.94 , 334.34 , 460.47 , 520.21 , 708.79 , 737.78 , 779.28 
,,,,,,,,,,
Working Capital, 28.22 , 53.73 , 86.15 , 105.76 , 169.93 , 262.40 , 266.69 , 338.60 , 373.40 , 387.27 
Debtors, 4.89 , 24.39 , 64.58 , 76.83 , 125.95 , 167.96 , 176.78 , 238.98 , 245.13 , 288.52 
Inventory, 10.75 , 24.37 , 47.48 , 67.98 , 110.44 , 172.44 , 192.64 , 205.54 , 224.35 , 199.75 
,,,,,,,,,,
Debtor Days, 38.58 , 95.63 , 116.55 , 110.91 , 124.43 , 98.10 , 98.39 , 119.79 , 121.94 , 137.85 
Inventory Turnover, 4.30 , 3.82 , 4.26 , 3.72 , 3.35 , 3.62 , 3.40 , 3.54 , 3.27 , 3.82 
,,,,,,,,,,
Return on Equity,14%,17%,24%,23%,23%,24%,20%,18%,12%,2%
Return on Capital Emp,,23%,30%,27%,25%,30%,25%,22%,20%,14%
,,,,,,,,,,
