ARCOTECH LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (2.30), (17.98), 10.38 , 22.33 , 20.98 , -   , 41.15 , (2.55), 47.82 , 56.08 
Cash from Investing Activity, 0.03 , (18.02), (6.90), (16.20), (32.32), -   , (29.87), (72.71), 8.68 , (38.99)
Cash from Financing Activity, 2.39 , 36.59 , (2.33), (3.69), 15.61 , -   , (6.76), 76.32 , (56.49), (17.05)
Net Cash Flow, 0.12 , 0.59 , 1.15 , 2.44 , 4.27 , -   , 4.52 , 1.07 , 0.01 , 0.04 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
