ARIHANT FOUNDATIONS & HOUSING LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Sep-08,Sep-09,Sep-10,Sep-11,Sep-12,Sep-13,Dec-14,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (22.83), 27.82 , (0.53), 28.18 , 31.80 , (16.74), (30.58), 18.50 , 6.34 , 21.53 
Cash from Investing Activity, 3.59 , (4.63), (5.93), 7.10 , 6.34 , 4.28 , 3.55 , 12.00 , 22.78 , 4.85 
Cash from Financing Activity, 18.02 , (22.19), 12.58 , (41.89), (33.18), 13.50 , 42.48 , (50.82), (30.81), (21.81)
Net Cash Flow, (1.22), 1.00 , 6.12 , (6.61), 4.96 , 1.04 , 15.45 , (20.32), (1.69), 4.57 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
