ARROW GREENTECH LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 0.40 , -   , 0.18 , (0.48), 4.22 , 10.09 , 9.84 , 7.20 , 12.35 , 3.41 
Cash from Investing Activity, (0.22), (0.24), (0.36), 0.07 , 0.14 , (7.55), (10.66), 2.88 , (12.44), 0.55 
Cash from Financing Activity, (0.99), (0.20), 0.52 , 5.86 , (6.00), (1.56), (2.13), (7.12), (2.00), (6.44)
Net Cash Flow, (0.81), (0.44), 0.34 , 5.45 , (1.64), 0.98 , (2.95), 2.96 , (2.09), (2.48)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
