ARVIND SMARTSPACES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , (5.70), 0.25 , -   , (69.81), (68.45), 54.64 , (8.96), (9.56), (59.77)
Cash from Investing Activity, -   , 0.04 , (16.39), -   , (3.09), 7.22 , 2.38 , (7.01), (11.40), (62.14)
Cash from Financing Activity, -   , 7.00 , 15.50 , -   , (30.47), 83.86 , 24.96 , 16.82 , 20.26 , 122.22 
Net Cash Flow, -   , 1.34 , (0.64), -   , (103.37), 22.63 , 81.98 , 0.85 , (0.71), 0.31 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
