ASAHI SONGWON COLORS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 12.27 , 12.27 , 12.27 , 12.27 , 12.27 , 12.27 , 12.27 , 12.27 , 12.27 , 12.27 
Reserves, 62.35 , 69.45 , 85.18 , 102.70 , 108.03 , 117.59 , 105.71 , 123.74 , 146.25 , 169.37 
Borrowings, 34.81 , 37.77 , 48.50 , 47.47 , 70.78 , 80.38 , 48.61 , 44.47 , 35.18 , 76.51 
Other Liabilities, 23.80 , 32.99 , 34.76 , 40.25 , 48.53 , 68.65 , 46.26 , 40.15 , 53.62 , 62.12 
Total, 133.23 , 152.48 , 180.71 , 202.69 , 239.61 , 278.89 , 212.85 , 220.63 , 247.32 , 320.27 
,,,,,,,,,,
Net Block, 67.51 , 64.71 , 75.45 , 78.48 , 101.82 , 122.46 , 94.47 , 93.16 , 93.88 , 140.99 
Capital Work in Progress, 0.50 , 3.67 , 5.08 , 16.72 , 17.60 , 7.20 , 0.81 , 5.75 , 10.17 , 15.09 
Investments, 0.42 , 0.21 , 0.64 , 9.26 , 14.25 , 15.93 , 17.85 , 25.72 , 29.82 , 18.94 
Other Assets, 64.80 , 83.89 , 99.54 , 98.23 , 105.94 , 133.30 , 99.72 , 96.00 , 113.45 , 145.25 
Total, 133.23 , 152.48 , 180.71 , 202.69 , 239.61 , 278.89 , 212.85 , 220.63 , 247.32 , 320.27 
,,,,,,,,,,
Working Capital, 41.00 , 50.90 , 64.78 , 57.98 , 57.41 , 64.65 , 53.46 , 55.85 , 59.83 , 83.13 
Debtors, 26.23 , 38.06 , 39.68 , 43.87 , 48.54 , 67.95 , 42.69 , 51.01 , 46.78 , 79.49 
Inventory, 18.03 , 22.68 , 28.51 , 25.28 , 23.84 , 32.02 , 28.84 , 19.35 , 43.05 , 36.36 
,,,,,,,,,,
Debtor Days, 85.01 , 110.19 , 78.72 , 68.52 , 76.31 , 82.12 , 65.05 , 83.15 , 67.36 , 99.19 
Inventory Turnover, 6.25 , 5.56 , 6.45 , 9.24 , 9.74 , 9.43 , 8.31 , 11.57 , 5.89 , 8.04 
,,,,,,,,,,
Return on Equity,3%,12%,21%,20%,9%,11%,15%,15%,17%,13%
Return on Capital Emp,,13%,19%,25%,11%,15%,17%,21%,23%,16%
,,,,,,,,,,
