ASAHI SONGWON COLORS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (1.19), 4.41 , 13.78 , 40.73 , 17.36 , 20.48 , 25.00 , 31.74 , 28.09 , 5.91 
Cash from Investing Activity, (6.84), (4.01), (19.37), (28.53), (34.07), (19.00), (8.94), (15.05), (11.56), (43.83)
Cash from Financing Activity, 7.95 , 0.52 , 4.66 , (11.02), 15.21 , (1.70), (15.92), (16.76), (16.53), 37.78 
Net Cash Flow, (0.08), 0.92 , (0.93), 1.18 , (1.50), (0.22), 0.14 , (0.07), -   , (0.14)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
