ASHAPURA MINECHEM LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 15.80 , 15.80 , 15.80 , 15.80 , 16.60 , 17.40 , 17.40 , 17.40 , 17.40 , 17.40 
Reserves, 219.94 , 229.68 , (369.82), (363.21), (316.89), (161.69), (287.58), (222.88), (276.22), (344.06)
Borrowings, 477.28 , 377.57 , 312.63 , 314.75 , 310.14 , 150.64 , 91.96 , 77.65 , 67.18 , 58.06 
Other Liabilities, 318.76 , 124.97 , 689.05 , 698.58 , 675.67 , 700.50 , 887.82 , 919.91 , 890.78 , 904.16 
Total," 1,031.78 ", 748.02 , 647.66 , 665.92 , 685.52 , 706.85 , 709.60 , 792.08 , 699.14 , 635.56 
,,,,,,,,,,
Net Block, 81.37 , 161.79 , 156.93 , 154.20 , 148.68 , 148.47 , 141.93 , 188.92 , 234.30 , 218.10 
Capital Work in Progress, 81.24 , 1.88 , 8.15 , 5.19 , 4.79 , 11.15 , 8.94 , 49.23 , 2.22 , 4.80 
Investments, 43.69 , 49.00 , 43.37 , 43.51 , 38.70 , 38.70 , 39.00 , 39.00 , 44.12 , 43.97 
Other Assets, 825.48 , 535.35 , 439.21 , 463.02 , 493.35 , 508.53 , 519.73 , 514.93 , 418.50 , 368.69 
Total," 1,031.78 ", 748.02 , 647.66 , 665.92 , 685.52 , 706.85 , 709.60 , 792.08 , 699.14 , 635.56 
,,,,,,,,,,
Working Capital, 506.72 , 410.38 , (249.84), (235.56), (182.32), (191.97), (368.09), (404.98), (472.28), (535.47)
Debtors, 124.01 , 116.66 , 93.36 , 137.14 , 145.70 , 198.54 , 199.57 , 184.80 , 138.08 , 71.68 
Inventory, 191.77 , 135.81 , 153.61 , 136.40 , 148.90 , 138.93 , 106.13 , 120.59 , 87.70 , 139.65 
,,,,,,,,,,
Debtor Days, 64.66 , 84.64 , 75.59 , 117.05 , 111.15 , 109.20 , 97.22 , 113.84 , 213.80 , 109.38 
Inventory Turnover, 3.65 , 3.70 , 2.93 , 3.14 , 3.21 , 4.78 , 7.06 , 4.91 , 2.69 , 1.71 
,,,,,,,,,,
Return on Equity,-108%,4%,,,,,,,,
Return on Capital Emp,,10%,-158%,,,1984%,,,,
,,,,,,,,,,
