ASHAPURA MINECHEM LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 699.99 , 503.06 , 450.80 , 427.64 , 478.47 , 663.64 , 749.24 , 592.49 , 235.73 , 239.19 , 311.50 , 311.50 , 140.58 
Expenses," 1,074.50 ", 496.17 , 398.40 , 372.53 , 395.55 , 500.11 , 626.38 , 519.87 , 272.53 , 267.77 , 345.33 , 290.31 , 140.58 
Operating Profit, (374.51), 6.89 , 52.40 , 55.11 , 82.92 , 163.53 , 122.86 , 72.62 , (36.80), (28.58), (33.83), 21.19 , -   
Other Income, 15.34 , 68.30 , (501.93), 11.23 , 7.01 , 8.31 , (221.09), 21.86 , 12.08 , (5.07), (29.45), -   , -   
Depreciation, 6.60 , 9.80 , 10.72 , 10.91 , 11.45 , 11.16 , 15.88 , 20.41 , 24.36 , 24.06 , 23.23 , 23.23 , 23.23 
Interest, 22.25 , 55.50 , 47.60 , 48.88 , 46.03 , 19.40 , 9.82 , 9.36 , 9.93 , 11.03 , 12.00 , 12.00 , 12.00 
Profit before tax, (388.02), 9.89 , (507.85), 6.56 , 32.44 , 141.27 , (123.94), 64.70 , (59.02), (68.74), (98.51), (14.04), (35.23)
Tax, (132.54), 0.15 , 92.52 , (0.05), 0.05 , -   , -   , -   , -   , -   , -   ,0%,0%
Net profit, (255.48), 9.74 , (600.37), 6.61 , 32.39 , 141.27 , (123.94), 64.69 , (59.02), (68.73), (98.50), (14.04), (35.23)
EPS, (32.34), 1.23 , (76.01), 0.84 , 3.90 , 17.02 , (14.25), 7.44 , (6.78), (7.90), (11.32), (1.61), (4.05)
Price to earning, (0.91), 55.62 , (0.43), 14.24 , 8.21 , 3.56 , (5.15), 10.45 , (10.40), (9.50), -   , 10.45 , -   
Price, 29.38 , 68.59 , 32.56 , 11.92 , 32.06 , 60.58 , 73.38 , 77.73 , 70.54 , 75.07 , 22.45 , (16.87), -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,1.37%,11.62%,12.89%,17.33%,24.64%,16.40%,12.26%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-11.25%,-8.66%,-12.95%,-31.65%,30.23%,30.23%,-31.65%
,,,,,,OPM,11.04%,14.68%,14.47%,6.80%,0.00%,6.80%,0.00%
,,,,,,Price to Earning, 18.42 , 9.12 , 7.01 , 10.45 , -   , 10.45 , -   
