ASHIANA HOUSING LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (0.89), 9.16 , 48.48 , 47.28 , (73.67), (27.77), (21.05), (101.87), (49.22), (58.10)
Cash from Investing Activity, 8.35 , (14.28), (24.25), (61.59), 102.36 , 35.03 , (200.94), 139.10 , (7.14), 18.62 
Cash from Financing Activity, (2.68), 6.01 , (0.24), 14.60 , (15.48), (9.06), 220.75 , 19.66 , 1.12 , 24.39 
Net Cash Flow, 4.78 , 0.89 , 23.99 , 0.29 , 13.21 , (1.80), (1.24), 56.89 , (55.24), (15.09)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
