ASIAN HOTELS (WEST) LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jun-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , 60.21 , 134.55 , 130.41 , 129.91 , 129.36 , 134.37 , 131.58 , 135.71 , 140.33 , 148.72 , 148.72 , 141.23 
Expenses, 0.76 , 40.99 , 87.84 , 87.66 , 90.84 , 96.68 , 104.57 , 104.71 , 103.47 , 108.22 , 109.01 , 109.01 , 109.62 
Operating Profit, (0.76), 19.22 , 46.71 , 42.75 , 39.07 , 32.68 , 29.80 , 26.87 , 32.24 , 32.11 , 39.71 , 39.71 , 31.60 
Other Income, -   , 0.19 , (0.71), 5.38 , 1.09 , (8.24), 1.58 , 4.15 , 14.28 , 13.10 , 10.58 , -   , -   
Depreciation, -   , 4.25 , 10.23 , 10.30 , 10.25 , 8.27 , 12.74 , 14.66 , 15.14 , 15.95 , 7.46 , 7.46 , 7.46 
Interest, -   , 0.02 , 12.47 , 18.43 , 16.28 , 18.54 , 21.87 , 23.09 , 29.36 , 23.29 , 26.25 , 26.25 , 26.25 
Profit before tax, (0.76), 15.14 , 23.30 , 19.40 , 13.63 , (2.37), (3.22), (6.73), 2.01 , 5.97 , 16.58 , 6.00 , (2.11)
Tax, -   , 5.16 , 6.38 , 6.13 , 5.99 , 2.66 , (1.08), (2.85), 0.55 , 1.77 , (10.08),-61%,-61%
Net profit, (0.76), 9.98 , 16.92 , 13.27 , 7.63 , (5.03), (2.14), (3.87), 1.47 , 4.20 , 26.66 , 9.65 , (3.39)
EPS, (152.00), 8.75 , 14.84 , 11.58 , 6.66 , (4.39), (1.87), (3.38), 1.28 , 3.67 , 22.88 , 8.28 , (2.91)
Price to earning,  ,  , 13.31 , 11.47 , 15.46 , (23.50), (67.49), (36.37), 176.21 , 91.71 , 14.86 , 94.26 , 14.86 
Price, -   , -   , 197.49 , 132.86 , 102.92 , 103.15 , 126.06 , 122.85 , 226.07 , 336.15 , 340.00 , 780.50 , (43.17)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,34.27%,26.95%,34.51%,30.01%,0.00%,0.00%,0.00%,78.23%,27.38%,,,
OPM,0.00%,31.92%,34.72%,32.78%,30.07%,25.26%,22.18%,20.42%,23.76%,22.88%,26.70%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,0.60%,1.56%,1.46%,5.98%,5.98%,0.60%
,,,,,,OPM,26.76%,25.28%,22.89%,22.38%,26.70%,26.70%,22.38%
,,,,,,Price to Earning, 53.83 , 61.94 , 94.26 , 94.26 , 14.86 , 94.26 , 14.86 
