ASIAN PAINTS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 95.92 , 95.92 , 95.92 , 95.92 , 95.92 , 95.92 , 95.92 , 95.92 , 95.92 , 95.92 
Reserves, 998.55 ," 1,461.30 "," 1,879.40 "," 2,391.86 "," 2,926.34 "," 3,505.01 "," 4,134.34 "," 5,829.81 "," 6,998.83 "," 7,702.24 "
Borrowings, 74.53 , 68.59 , 73.62 , 168.22 , 54.10 , 47.69 , 39.57 , 35.71 , 39.20 , 11.29 
Other Liabilities," 1,025.99 "," 1,530.91 "," 1,833.50 "," 2,165.39 "," 2,599.46 "," 3,102.09 "," 3,053.83 "," 2,817.82 "," 3,274.41 "," 3,832.31 "
Total," 2,194.99 "," 3,156.72 "," 3,882.44 "," 4,821.39 "," 5,675.82 "," 6,750.71 "," 7,323.66 "," 8,779.26 "," 10,408.36 "," 11,641.76 "
,,,,,,,,,,
Net Block, 622.91 , 707.46 ," 1,057.19 "," 1,009.04 "," 2,101.89 "," 2,012.20 "," 1,965.49 "," 2,628.99 "," 2,604.68 "," 2,568.53 "
Capital Work in Progress, 88.86 , 380.72 , 39.67 , 602.84 , 52.55 , 37.95 , 139.54 , 92.79 , 219.76 ," 1,391.84 "
Investments, 234.77 , 703.69 , 547.83 , 542.22 , 464.70 ," 1,671.15 "," 1,893.78 "," 2,796.64 "," 2,913.60 "," 2,577.34 "
Other Assets," 1,248.45 "," 1,364.85 "," 2,237.75 "," 2,667.29 "," 3,056.68 "," 3,029.41 "," 3,324.85 "," 3,260.84 "," 4,670.32 "," 5,104.05 "
Total," 2,194.99 "," 3,156.72 "," 3,882.44 "," 4,821.39 "," 5,675.82 "," 6,750.71 "," 7,323.66 "," 8,779.26 "," 10,408.36 "," 11,641.76 "
,,,,,,,,,,
Working Capital, 222.46 , (166.06), 404.25 , 501.90 , 457.22 , (72.68), 271.02 , 443.02 ," 1,395.91 "," 1,271.74 "
Debtors, 311.02 , 331.43 , 355.56 , 500.24 , 633.88 , 712.36 , 729.55 , 759.06 , 994.63 ," 1,138.20 "
Inventory, 546.71 , 763.14 ," 1,071.76 "," 1,264.42 "," 1,480.79 "," 1,665.05 "," 1,802.18 "," 1,610.12 "," 2,194.09 "," 2,178.43 "
,,,,,,,,,,
Debtor Days, 27.89 , 24.74 , 21.47 , 24.04 , 27.10 , 26.17 , 23.97 , 23.42 , 28.71 , 29.32 
Inventory Turnover, 7.44 , 6.41 , 5.64 , 6.01 , 5.77 , 5.97 , 6.16 , 7.35 , 5.76 , 6.50 
,,,,,,,,,,
Return on Equity,33%,50%,39%,39%,35%,32%,31%,27%,25%,24%
Return on Capital Emp,,80%,62%,59%,54%,51%,50%,48%,41%,39%
,,,,,,,,,,
