ASTRAZENECA PHARMA INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Dec-09,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 353.38 , 396.58 , 594.15 , 531.40 , 390.34 , 473.87 , 517.07 , 563.73 , 543.71 , 571.00 , 728.29 , 728.29 , 566.88 
Expenses, 240.85 , 307.00 , 490.37 , 501.14 , 458.79 , 486.86 , 528.48 , 547.33 , 506.77 , 524.71 , 656.99 , 656.99 , 546.37 
Operating Profit, 112.53 , 89.58 , 103.78 , 30.26 , (68.45), (12.99), (11.41), 16.40 , 36.94 , 46.29 , 71.30 , 71.30 , 20.50 
Other Income, 13.58 , 5.01 , 5.98 , 6.33 , 10.46 , 23.10 , 5.85 , 6.77 , 14.39 , 12.25 , 16.28 , -   , -   
Depreciation, 6.88 , 6.08 , 8.81 , 7.34 , 12.28 , 10.12 , 15.28 , 17.43 , 15.83 , 14.74 , 14.91 , 14.91 , 14.91 
Interest, 4.86 , 0.14 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Profit before tax, 114.37 , 88.37 , 100.95 , 29.25 , (70.27), -   , (20.84), 5.76 , 35.50 , 43.80 , 72.67 , 56.39 , 5.59 
Tax, 40.53 , 30.75 , 36.82 , 9.49 , 19.26 , 0.51 , -   , 0.50 , 15.45 , 17.89 , 18.21 ,25%,25%
Net profit, 73.84 , 57.62 , 64.13 , 19.76 , (89.53), (0.51), (20.84), 5.26 , 20.05 , 25.91 , 54.43 , 42.26 , 4.19 
EPS, 29.54 , 23.05 , 25.65 , 7.90 , (35.81), (0.20), (8.34), 2.10 , 8.02 , 10.36 , 21.77 , 16.90 , 1.68 
Price to earning, 15.85 , 38.75 , 50.98 , 287.14 , (19.12)," (5,374.97)", (112.99), 554.05 , 123.33 , 95.04 , 92.34 , 216.19 , 92.34 
Price, 468.17 , 893.01 ," 1,307.80 "," 2,269.56 ", 684.77 ," 1,096.49 ", 941.86 ," 1,165.73 ", 989.12 , 984.94 ," 2,010.35 "," 3,654.42 ", 154.83 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,50.79%,43.39%,38.98%,44.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,31.84%,22.59%,17.47%,5.69%,0.00%,0.00%,0.00%,2.91%,6.79%,8.11%,9.79%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,5.48%,-0.57%,7.90%,3.36%,27.55%,27.55%,-0.57%
,,,,,,OPM,8.83%,3.62%,3.73%,5.94%,9.79%,9.79%,3.62%
,,,,,,Price to Earning, 157.18 , 230.38 , 216.19 , 216.19 , 92.34 , 216.19 , 92.34 
