BHARAT PETROLEUM CORPORATION LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity," 6,212.34 "," (1,515.15)"," 3,081.87 ", 925.84 ," 5,480.45 "," 8,404.11 "," 18,183.34 "," 10,179.21 "," 7,896.93 "," 8,974.67 "
Cash from Investing Activity," (9,908.75)"," 1,538.43 "," 1,750.50 ", (890.54)," (2,387.16)"," (4,285.89)"," (7,909.12)"," (7,975.48)"," (10,129.68)"," (4,749.52)"
Cash from Financing Activity," (2,285.32)", 652.09 ," (1,817.00)"," (4,713.14)"," (1,743.25)"," (6,243.73)"," (9,121.19)"," (1,839.92)", 566.56 ," (4,203.77)"
Net Cash Flow," (5,981.73)", 675.37 ," 3,015.37 "," (4,677.84)"," 1,350.04 "," (2,125.51)"," 1,153.03 ", 363.81 ," (1,666.19)", 21.38 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
