BF INVESTMENT LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , 71.19 , 41.83 , 50.59 , 38.53 , 22.91 , 20.73 , 24.87 , 21.64 , 37.47 , 34.64 , 64.88 , 36.93 
Expenses, -   , 7.18 , 2.10 , 2.44 , 2.95 , 1.88 , 1.03 , 1.95 , 6.13 , (4.18), 3.64 , 3.01 , 3.88 
Operating Profit, -   , 64.01 , 39.73 , 48.15 , 35.58 , 21.03 , 19.70 , 22.92 , 15.51 , 41.65 , 31.00 , 61.87 , 33.05 
Other Income, -   , (4.82), (16.85), 3.73 , (6.45), 0.99 , -   , 0.12 , 2.88 , (20.99), 4.57 , -   , -   
Depreciation, -   , 0.02 , 0.25 , 0.19 , 0.25 , 0.49 , 0.59 , 0.69 , 0.55 , 0.41 , 0.19 , 0.19 , 0.19 
Interest, -   , -   , 1.17 , 0.60 , 0.06 , 0.10 , 0.05 , 0.06 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 
Profit before tax, -   , 59.17 , 21.46 , 51.09 , 28.81 , 21.42 , 19.06 , 22.30 , 17.82 , 20.24 , 35.37 , 61.67 , 32.85 
Tax, -   , 9.30 , 8.20 , 7.59 , 2.44 , 1.48 , 0.30 , 0.77 , (0.02), 0.44 , 1.46 ,4%,4%
Net profit, -   , 49.87 , 13.26 , 43.50 , 26.37 , 19.95 , 18.75 , 21.53 , 17.83 , 19.80 , 33.91 , 59.12 , 31.49 
EPS, -   , 13.24 , 3.52 , 11.55 , 7.00 , 5.30 , 4.98 , 5.72 , 4.73 , 5.26 , 9.00 , 15.70 , 8.36 
Price to earning,  ,  , 23.62 , 3.99 , 6.28 , 11.63 , 36.16 , 21.20 , 35.99 , 57.89 , 28.96 , 36.01 , 25.08 
Price, -   , -   , 83.14 , 46.04 , 43.99 , 61.61 , 180.01 , 121.17 , 170.38 , 304.32 , 260.75 , 565.33 , 209.74 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,89.91%,94.98%,95.18%,92.34%,91.79%,95.03%,92.16%,71.67%,111.16%,89.49%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,-1.56%,-0.56%,21.81%,73.15%,73.15%,-1.56%
,,,,,,OPM,93.49%,94.37%,94.66%,95.36%,89.49%,95.36%,89.49%
,,,,,,Price to Earning, 25.08 , 25.26 , 31.97 , 36.01 , 28.96 , 36.01 , 25.08 
