BPL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 3.36 , (23.74), 4.70 , (30.07), (12.56), 6.97 , (120.87), (20.10), (60.05), 3.72 
Cash from Investing Activity, (1.83), 62.97 , 158.66 , 112.26 , 41.93 , 10.10 , 121.51 , 13.63 , 56.63 , 14.96 
Cash from Financing Activity, (0.55), (38.88), (167.05), (80.38), (27.97), (21.19), (0.06), 5.64 , 14.10 , (19.52)
Net Cash Flow, 0.98 , 0.35 , (3.69), 1.81 , 1.40 , (4.12), 0.58 , (0.83), 10.68 , (0.84)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
