BAJAJ CONSUMER CARE LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 214.95 , 289.68 , 353.72 , 467.88 , 600.01 , 664.90 , 812.92 , 795.86 , 792.20 , 829.85 , 909.36 , 909.36 , 836.12 
Expenses, 189.10 , 192.33 , 250.07 , 351.24 , 427.19 , 485.35 , 580.08 , 524.77 , 540.48 , 571.22 , 630.95 , 615.47 , 590.52 
Operating Profit, 25.85 , 97.35 , 103.65 , 116.64 , 172.82 , 179.55 , 232.84 , 271.09 , 251.72 , 258.63 , 278.41 , 293.89 , 245.60 
Other Income, 1.77 , 5.13 , 3.33 , 37.38 , 40.05 , 18.65 , (9.21), (14.87), 34.87 , 24.35 , 17.54 , -   , -   
Depreciation, 0.42 , 0.84 , 1.79 , 2.60 , 3.28 , 3.67 , 4.24 , 4.32 , 4.76 , 6.85 , 6.59 , 6.59 , 6.59 
Interest, 0.06 , 0.13 , 0.11 , 0.08 , 0.08 , 5.88 , 0.10 , 0.21 , 0.93 , 1.16 , 1.10 , 1.10 , 1.10 
Profit before tax, 52.88 , 101.53 , 105.08 , 151.34 , 209.51 , 188.63 , 219.30 , 251.70 , 280.88 , 274.99 , 288.26 , 286.20 , 237.91 
Tax, 5.89 , 17.62 , 20.98 , 31.25 , 42.13 , 38.18 , 45.99 , 53.71 , 59.92 , 58.71 , 62.13 ,22%,22%
Net profit, 46.99 , 83.91 , 84.10 , 120.09 , 167.38 , 150.44 , 173.31 , 197.99 , 220.96 , 216.27 , 226.13 , 224.52 , 186.63 
EPS, 7.23 , 6.71 , 5.70 , 8.14 , 11.35 , 10.20 , 11.75 , 13.42 , 14.98 , 14.66 , 15.33 , 15.22 , 12.65 
Price to earning,  ,  , 18.02 , 15.29 , 20.72 , 21.66 , 39.68 , 28.89 , 26.94 , 32.52 , 21.89 , 27.56 , 21.89 
Price, -   , -   , 102.76 , 124.46 , 235.09 , 220.93 , 466.21 , 387.84 , 403.63 , 476.84 , 335.55 , 419.53 , 276.94 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.53%,130.50%,33.32%,49.13%,57.28%,63.73%,97.88%,85.68%,76.77%,81.84%,,,
OPM,12.03%,33.61%,29.30%,24.93%,28.80%,27.00%,28.64%,34.06%,31.77%,31.17%,30.62%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,16.19%,12.96%,6.70%,0.69%,9.58%,9.58%,0.69%
,,,,,,OPM,29.37%,29.88%,30.64%,32.32%,30.62%,32.32%,29.37%
,,,,,,Price to Earning, 25.07 , 25.95 , 28.60 , 27.56 , 21.89 , 27.56 , 21.89 
