BAJAJ ELECTRICALS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 151.02 , 4.04 , 112.37 , 75.62 , 140.61 , (6.77), 121.00 , 304.85 , 436.95 , (102.87)
Cash from Investing Activity, (42.06), (38.43), (28.95), (67.59), (0.16), (76.36), (83.46), (52.85), (90.50), 36.09 
Cash from Financing Activity, (87.10), 41.82 , (98.55), (2.28), (144.06), 86.92 , (56.15), (238.85), (367.94), 63.52 
Net Cash Flow, 21.86 , 7.43 , (15.13), 5.75 , (3.61), 3.79 , (18.61), 13.15 , (21.50), (3.26)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
