BAJAJ FINANCE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (132.33)," (1,559.89)"," (2,841.97)"," (4,568.06)"," (3,250.87)"," (6,086.57)"," (7,147.14)"," (9,870.83)"," (10,439.98)"," (17,091.82)"
Cash from Investing Activity, 42.58 , (66.09), (59.38), (50.91), (56.37), (95.81), (365.42), (685.90)," (3,048.24)", 405.49 
Cash from Financing Activity, (57.45)," 1,606.56 "," 3,457.88 "," 3,807.13 "," 3,663.78 "," 6,542.82 "," 6,953.19 "," 11,656.20 "," 12,515.94 "," 16,588.95 "
Net Cash Flow, (147.20), (19.42), 556.53 , (811.84), 356.54 , 360.44 , (559.37)," 1,099.47 ", (972.28), (97.38)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
