BALAXI VENTURES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-06,Mar-07,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , (0.01), (0.02), -   , 0.32 , (0.24), 0.21 , (0.03), (0.13), (0.68)
Cash from Investing Activity, -   , 0.02 , 0.02 , 0.33 , (0.05), 0.32 , (3.11), 0.13 , 2.67 , (0.01)
Cash from Financing Activity, -   , (0.01), (0.01), 0.20 , (0.29), (0.07), 2.38 , (0.11), (0.24), -   
Net Cash Flow, -   , -   , (0.01), 0.53 , (0.02), 0.01 , (0.52), (0.02), 2.30 , (0.69)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
