BALAXI VENTURES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Mar-06,Mar-07,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , 0.19 , 0.05 , 0.14 , 0.12 , 0.05 , -   , -   , 13.59 , -   , (13.59)
Expenses, -   , 0.01 , 0.01 , 0.05 , 0.03 , 0.03 , 0.07 , 0.12 , 0.14 , 0.76 , 11.95 , -   , (13.59)
Operating Profit, -   , (0.01), (0.01), 0.14 , 0.02 , 0.11 , 0.05 , (0.07), (0.14), (0.76), 1.64 , -   , -   
Other Income, -   , 0.02 , 0.02 , -   , 0.03 , 0.05 , 0.12 , -   , -   , -   , 0.80 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Interest, -   , -   , -   , -   , -   , 0.01 , 0.01 , 0.05 , 0.04 , -   , -   , -   , -   
Profit before tax, -   , 0.01 , 0.01 , 0.14 , 0.06 , 0.15 , 0.15 , (0.11), (0.17), (0.77), 2.44 , -   , -   
Tax, -   , -   , -   , 0.02 , 0.01 , 0.04 , 0.04 , (0.04), -   , -   , 0.47 ,19%,19%
Net profit, -   , 0.01 , 0.01 , 0.12 , 0.04 , 0.11 , 0.10 , (0.08), (0.17), (0.77), 1.97 , -   , -   
EPS, -   , 2.00 , 2.00 , 1.71 , 0.57 , 1.57 , 0.33 , (0.26), (0.56), (2.53), 6.48 , -   , -   
Price to earning,  ,  ,  ,  ,  ,  ,  , (51.87), (32.01), (5.84), 14.97 , 14.97 , 14.97 
Price, -   , -   , -   , -   , -   , -   , -   , 13.65 , 17.90 , 14.80 , 97.00 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,100.00%,100.00%,58.33%,175.00%,63.64%,90.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,73.68%,40.00%,78.57%,41.67%,0.00%,0.00%,0.00%,12.07%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,-100.00%,-100.00%,,-100.00%,-100.00%
,,,,,,OPM,58.18%,58.18%,51.61%,0.00%,12.07%,12.07%,0.00%
,,,,,,Price to Earning, 14.97 , 14.97 , 14.97 , 14.97 , 14.97 , 14.97 , 14.97 
