BALLARPUR INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 111.12 , 131.12 , 131.12 , 131.12 , 131.12 , 131.12 , 131.12 , 131.12 , 131.12 , 258.71 
Reserves," 1,238.65 "," 1,520.18 "," 1,487.49 "," 1,455.96 "," 1,466.14 "," 1,485.63 "," 1,479.37 "," 1,544.75 ", (40.50), 525.76 
Borrowings, 889.64 , 862.08 , 982.89 , 750.75 , 873.65 ," 1,001.87 "," 1,030.53 "," 1,974.22 "," 2,513.37 "," 1,690.74 "
Other Liabilities, 479.46 , 637.55 , 470.92 , 419.54 , 398.28 , 341.35 , 332.01 ," 1,267.52 "," 2,230.84 "," 1,774.99 "
Total," 2,718.87 "," 3,150.93 "," 3,072.42 "," 2,757.37 "," 2,869.19 "," 2,959.97 "," 2,973.03 "," 4,917.61 "," 4,834.83 "," 4,250.20 "
,,,,,,,,,,
Net Block, 848.82 , 971.57 , 949.88 , 893.20 ," 1,215.40 "," 1,246.50 "," 1,259.82 "," 2,632.97 "," 2,368.89 "," 2,608.63 "
Capital Work in Progress, 194.06 , 88.48 , 136.70 , 174.58 , 136.87 , 132.88 , 160.41 , 298.55 , 312.56 , 0.65 
Investments, 285.55 ," 1,151.03 "," 1,196.25 ", 813.89 , 813.78 , 813.78 , 813.78 ," 1,065.35 "," 1,065.35 "," 1,057.87 "
Other Assets," 1,390.44 ", 939.85 , 789.59 , 875.70 , 703.14 , 766.81 , 739.02 , 920.74 ," 1,088.03 ", 583.05 
Total," 2,718.87 "," 3,150.93 "," 3,072.42 "," 2,757.37 "," 2,869.19 "," 2,959.97 "," 2,973.03 "," 4,917.61 "," 4,834.83 "," 4,250.20 "
,,,,,,,,,,
Working Capital, 910.98 , 302.30 , 318.67 , 456.16 , 304.86 , 425.46 , 407.01 , (346.78)," (1,142.81)"," (1,191.94)"
Debtors, 205.42 , 221.86 , 241.29 , 235.37 , 212.96 , 209.17 , 216.61 , 15.55 , 5.37 , 7.05 
Inventory, 130.00 , 178.33 , 269.40 , 251.26 , 261.51 , 306.33 , 293.63 , 284.78 , 324.68 , 53.71 
,,,,,,,,,,
Debtor Days, 75.03 , 79.35 , 83.01 , 78.50 , 78.94 , 80.32 , 175.29 , 10.10 , 9.07 , 8.49 
Inventory Turnover, 7.69 , 5.72 , 3.94 , 4.36 , 3.77 , 3.10 , 1.54 , 1.97 , 0.67 , 5.64 
,,,,,,,,,,
Return on Equity,9%,4%,2%,0%,2%,2%,1%,1%,-750%,-40%
Return on Capital Emp,,5%,4%,2%,4%,3%,1%,4%,-18%,-8%
,,,,,,,,,,
