BALLARPUR INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 999.33 ," 1,020.57 "," 1,060.91 "," 1,094.35 ", 984.68 , 950.49 , 451.03 , 561.78 , 216.16 , 303.11 , 449.60 , 449.60 , 208.72 
Expenses, 771.32 , 833.80 , 893.04 , 971.02 , 827.10 , 819.19 , 382.96 , 485.44 , 565.37 , 337.97 , 474.92 , 417.85 , 208.72 
Operating Profit, 228.01 , 186.77 , 167.87 , 123.33 , 157.58 , 131.30 , 68.07 , 76.34 , (349.21), (34.86), (25.32), 31.75 , -   
Other Income, 35.50 , 27.05 , 12.97 , 5.10 , 10.44 , 4.32 , 1.23 , 109.20 , (150.17), (118.40), (304.54), -   , -   
Depreciation, 76.95 , 83.37 , 84.04 , 89.83 , 80.89 , 71.74 , 44.35 , 58.10 , 52.69 , 59.71 , 63.49 , 63.49 , 63.49 
Interest, 44.33 , 43.05 , 46.36 , 26.40 , 49.44 , 53.74 , 35.99 , 107.53 , 153.19 , 244.34 , 242.17 , 242.17 , 242.17 
Profit before tax, 142.23 , 87.40 , 50.44 , 12.20 , 37.69 , 10.14 , (11.04), 19.91 , (705.26), (457.31), (635.52), (273.91), (305.66)
Tax, 16.84 , 29.12 , 20.29 , 5.63 , 4.50 , (25.08), (19.98), (1.75), (25.42), (146.22), -   ,0%,0%
Net profit, 125.39 , 58.28 , 30.15 , 6.57 , 33.19 , 35.22 , 8.94 , 21.66 , (679.84), (311.09), (635.52), (273.91), (305.66)
EPS, 1.35 , 0.57 , 0.29 , 0.06 , 0.51 , 0.54 , 0.14 , 0.33 , (10.37), (2.40), (4.91), (2.12), (2.36)
Price to earning, 14.74 , 59.23 , 114.01 , 315.34 , 23.51 , 33.03 , 106.59 , 49.33 , (1.87), (5.75), -   , 49.33 , -   
Price, 19.88 , 33.51 , 33.37 , 20.11 , 11.90 , 17.74 , 14.53 , 16.29 , 19.40 , 13.83 , 2.60 , (104.47), -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,22.15%,56.25%,130.48%,498.93%,59.26%,37.22%,146.64%,0.00%,0.00%,0.00%,,,
OPM,22.82%,18.30%,15.82%,11.27%,16.00%,13.81%,15.09%,13.59%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-12.41%,-16.39%,-20.99%,-12.41%,48.33%,48.33%,-20.99%
,,,,,,OPM,14.91%,12.20%,11.11%,7.06%,0.00%,7.06%,0.00%
,,,,,,Price to Earning, 89.47 , 105.56 , 62.98 , 49.33 , -   , 49.33 , -   
