BANDHAN BANK LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , -   , -   ," 1,095.14 "," 1,192.80 "
Reserves, -   , -   , -   , -   , -   , -   , -   , -   ," 3,351.31 "," 8,189.14 "
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   ," 24,257.60 "," 34,154.00 "
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , -   ," 1,532.04 ", 774.12 
Total, -   , -   , -   , -   , -   , -   , -   , -   ," 30,236.09 "," 44,310.06 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , -   , 251.79 , 238.13 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , -   , -   , -   , -   , -   , -   , -   ," 5,516.49 "," 8,371.94 "
Other Assets, -   , -   , -   , -   , -   , -   , -   , -   ," 24,467.81 "," 35,699.99 "
Total, -   , -   , -   , -   , -   , -   , -   , -   ," 30,236.09 "," 44,310.06 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , -   , -   ," 22,935.77 "," 34,925.87 "
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,,,,,,25%,14%
Return on Capital Emp,,,,,,,,,22%,11%
,,,,,,,,,,
