BANDHAN BANK LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , -   , -   ," 8,885.19 "," (2,593.77)"
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , -   , -   ," (2,670.90)"," (2,241.63)"
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , -   , -   ," (2,022.71)"," 2,846.00 "
Net Cash Flow, -   , -   , -   , -   , -   , -   , -   , -   ," 4,191.59 "," (1,989.41)"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
