BANK OF MAHARASHTRA,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 430.52 , 430.52 , 481.71 , 589.59 , 661.48 , 839.10 ," 1,063.18 "," 1,168.33 "," 1,168.33 "," 2,598.45 "
Reserves," 2,086.67 "," 2,427.89 "," 2,901.21 "," 3,545.07 "," 5,147.46 "," 5,941.05 "," 7,004.15 "," 7,618.81 "," 6,211.19 "," 7,345.51 "
Borrowings," 54,512.43 "," 66,101.02 "," 69,921.30 "," 83,473.40 "," 1,07,214.42 "," 1,25,129.56 "," 1,33,245.66 "," 1,48,217.92 "," 1,47,189.49 "," 1,43,044.89 "
Other Liabilities," 2,013.73 "," 2,114.46 "," 3,159.94 "," 3,636.05 "," 4,030.15 "," 4,635.33 "," 4,983.41 "," 4,084.69 "," 5,119.86 "," 3,672.65 "
Total," 59,043.35 "," 71,073.89 "," 76,464.16 "," 91,244.11 "," 1,17,053.51 "," 1,36,545.04 "," 1,46,296.40 "," 1,61,089.75 "," 1,59,688.87 "," 1,56,661.50 "
,,,,,,,,,,
Net Block, 654.80 , 659.52 , 666.79 , 600.66 ," 1,429.47 "," 1,446.01 "," 1,432.17 "," 1,694.42 "," 1,564.03 "," 1,486.60 "
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , 22.05 , 30.07 
Investments," 18,382.14 "," 21,323.85 "," 22,491.08 "," 26,031.36 "," 31,430.31 "," 37,249.58 "," 32,765.01 "," 36,230.87 "," 38,590.18 "," 43,622.80 "
Other Assets," 40,006.41 "," 49,090.52 "," 53,306.29 "," 64,612.09 "," 84,193.73 "," 97,849.45 "," 1,12,099.22 "," 1,23,164.46 "," 1,19,512.61 "," 1,11,522.03 "
Total," 59,043.35 "," 71,073.89 "," 76,464.16 "," 91,244.11 "," 1,17,053.51 "," 1,36,545.04 "," 1,46,296.40 "," 1,61,089.75 "," 1,59,688.87 "," 1,56,661.50 "
,,,,,,,,,,
Working Capital," 37,992.68 "," 46,976.06 "," 50,146.35 "," 60,976.04 "," 80,163.58 "," 93,214.12 "," 1,07,115.81 "," 1,19,079.77 "," 1,14,392.75 "," 1,07,849.38 "
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,15%,15%,10%,10%,13%,6%,6%,1%,-19%,-12%
Return on Capital Emp,,6%,6%,7%,8%,8%,7%,6%,4%,3%
,,,,,,,,,,
