BHARAT FORGE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 183.91 , 533.08 , 340.99 , 671.53 , 524.74 , 765.26 , 902.71 ," 1,306.36 ", 892.38 , 941.30 
Cash from Investing Activity, (68.79), (439.07), (349.13), (735.39), 20.91 , (424.67), (138.13), (651.28), (579.33), (696.84)
Cash from Financing Activity, 86.60 , 32.79 , (253.32), 157.78 , (519.45), (397.39), (523.93), (676.71), (371.93), (366.57)
Net Cash Flow, 201.72 , 126.80 , (261.46), 93.92 , 26.20 , (56.80), 240.65 , (21.63), (58.88), (122.12)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
