BHARAT FORGE LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 1,995.60 "," 1,814.44 "," 2,947.00 "," 3,685.98 "," 3,142.89 "," 3,399.27 "," 4,548.05 "," 4,333.81 "," 3,864.66 "," 5,315.96 "," 6,519.99 "," 7,312.27 "," 5,664.00 "
Expenses," 1,614.93 "," 1,426.21 "," 2,231.51 "," 2,775.14 "," 2,453.33 "," 2,566.41 "," 3,251.19 "," 3,019.65 "," 2,808.06 "," 3,787.88 "," 4,613.91 "," 5,174.57 "," 4,191.21 "
Operating Profit, 380.67 , 388.23 , 715.49 , 910.84 , 689.56 , 832.86 ," 1,296.86 "," 1,314.16 "," 1,056.60 "," 1,528.08 "," 1,906.08 "," 2,137.70 "," 1,472.80 "
Other Income, 26.59 , 59.00 , 46.54 , 1.62 , 128.19 , 157.86 , 122.80 , 110.79 , 153.50 , (5.84), 166.03 , -   , -   
Depreciation, 149.44 , 164.44 , 193.27 , 214.93 , 223.93 , 245.32 , 250.51 , 308.45 , 294.85 , 306.75 , 346.64 , 346.64 , 346.64 
Interest, 100.37 , 102.77 , 121.44 , 150.47 , 153.36 , 149.57 , 111.84 , 90.51 , 72.77 , 84.84 , 102.40 , 102.40 , 102.40 
Profit before tax, 157.45 , 180.50 , 447.36 , 547.06 , 440.48 , 595.84 ," 1,057.32 "," 1,025.98 ", 842.49 ," 1,130.67 "," 1,623.07 "," 1,688.66 "," 1,023.76 "
Tax, 54.16 , 53.45 , 136.53 , 184.99 , 134.89 , 195.91 , 338.34 , 328.37 , 257.41 , 423.37 , 551.79 ,34%,34%
Net profit, 103.29 , 127.05 , 310.83 , 362.07 , 305.59 , 399.93 , 718.98 , 697.62 , 585.08 , 707.30 ," 1,071.29 "," 1,114.57 ", 675.71 
EPS, 2.27 , 2.79 , 6.67 , 7.77 , 6.56 , 8.59 , 15.44 , 14.98 , 12.56 , 15.19 , 23.01 , 23.94 , 14.51 
Price to earning, 26.37 , 48.38 , 26.74 , 20.36 , 16.71 , 24.76 , 40.72 , 27.13 , 43.26 , 48.84 , 20.96 , 35.05 , 20.96 
Price, 59.78 , 134.92 , 178.47 , 158.26 , 109.62 , 212.63 , 628.54 , 406.40 , 543.46 , 741.65 , 482.35 , 839.05 , 304.24 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,21.56%,17.53%,26.22%,25.72%,25.91%,26.20%,24.29%,25.03%,29.85%,29.63%,,,
OPM,19.08%,21.40%,24.28%,24.71%,21.94%,24.50%,28.51%,30.32%,27.34%,28.75%,29.23%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.50%,8.79%,11.08%,5.34%,37.55%,37.55%,5.34%
,,,,,,OPM,26.00%,26.97%,28.09%,28.85%,29.23%,29.23%,26.00%
,,,,,,Price to Earning, 31.29 , 30.34 , 34.28 , 35.05 , 20.96 , 35.05 , 20.96 
