BHARAT RASAYAN LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 4.25 , 4.25 , 4.25 , 4.25 , 4.25 , 4.25 , 4.25 , 4.25 , 4.25 , 4.25 
Reserves, 33.82 , 38.74 , 39.49 , 48.68 , 58.28 , 77.93 , 108.89 , 142.15 , 196.46 , 294.00 
Borrowings, 12.72 , 3.79 , 8.45 , 39.10 , 131.15 , 143.23 , 140.16 , 110.77 , 114.71 , 128.34 
Other Liabilities, 13.34 , 13.54 , 12.72 , 33.88 , 52.58 , 81.91 , 82.10 , 68.60 , 54.64 , 77.49 
Total, 64.13 , 60.32 , 64.91 , 125.91 , 246.26 , 307.32 , 335.40 , 325.77 , 370.06 , 504.08 
,,,,,,,,,,
Net Block, 5.42 , 5.59 , 19.95 , 16.24 , 135.05 , 142.26 , 136.62 , 135.72 , 131.03 , 147.72 
Capital Work in Progress, -   , -   , 3.28 , 48.27 , -   , 0.57 , 1.67 , 0.54 , 1.21 , 7.14 
Investments, 4.38 , 11.42 , 1.11 , 0.99 , 0.28 , 0.26 , 29.79 , 20.14 , 0.09 , 0.09 
Other Assets, 54.33 , 43.31 , 40.57 , 60.41 , 110.93 , 164.23 , 167.32 , 169.37 , 237.73 , 349.13 
Total, 64.13 , 60.32 , 64.91 , 125.91 , 246.26 , 307.32 , 335.40 , 325.77 , 370.06 , 504.08 
,,,,,,,,,,
Working Capital, 40.99 , 29.77 , 27.85 , 26.53 , 58.35 , 82.32 , 85.22 , 100.77 , 183.09 , 271.64 
Debtors, 22.26 , 16.92 , 15.93 , 30.04 , 45.02 , 60.41 , 79.53 , 88.17 , 120.15 , 221.61 
Inventory, 11.24 , 13.58 , 11.82 , 16.71 , 37.26 , 67.43 , 57.39 , 56.75 , 83.86 , 94.17 
,,,,,,,,,,
Debtor Days, 78.93 , 62.24 , 62.10 , 77.24 , 88.73 , 61.20 , 66.32 , 71.32 , 70.91 , 102.09 
Inventory Turnover, 9.16 , 7.31 , 7.92 , 8.49 , 4.97 , 5.34 , 7.63 , 7.95 , 7.38 , 8.41 
,,,,,,,,,,
Return on Equity,14%,14%,13%,19%,15%,25%,28%,23%,27%,33%
Return on Capital Emp,,19%,17%,20%,13%,22%,27%,25%,34%,40%
,,,,,,,,,,
